,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Has Basement,Has Transfer Deck,Grid_X,Grid_Y
5,26288.119456709916,1472.128247226542,787.3765284028016,2034.2632535250584,2821.6397819278595,2306.6232599772798,29061.583157775603,31883.22293970346,Precast Hollowcore with In-situ RC Beams,53210060.4154,130680.0,262101404.32902706,372.4704229080134,225.23763070618008,Education,50.25,10,Yes,No,6,6
6,27365.24259441092,2062.6969527067918,716.8446553260545,1852.3008543847286,2569.1455097107832,-758.6049470107847,30436.432232595816,33005.577742306596,Non-Composite Rolled Steel with PCC Planks,71899032.9416,130680.0,248422942.26859713,503.2932305915047,236.759454110708,Education,54.884,10,Yes,No,6,6
7,24583.6047110974,1928.8478498089,529.9235528669141,1369.5172599098503,1899.4408127767642,-2493.920190745867,27558.726561954063,29458.167374730834,Composite Rolled Steel with Metal Decking,66796457.2226,130680.0,210923401.71501318,467.5752005578819,214.46511908870482,Education,52.60000000000001,10,Yes,No,6,6
8,26204.96321910738,2149.9780003264386,535.8820814203953,1384.977756394945,1920.8598378153401,-2989.5756944472473,29423.66602955386,31344.525867369197,Composite Cell Beams with Metal Decking,75601467.0364,130680.0,212095504.62035918,529.2102692544942,229.20780761255244,Education,51.34559467035623,10,Yes,No,6,6
9,18390.91578334421,2818.369247272616,361.96592021971355,11919.41046671164,12281.376386931357,-4905.939430645674,22010.590810826645,23368.66444546442,Steel Frame with CLT Slabs,69393067.1665,130680.0,176558997.0864988,485.7514701656247,172.14831864854813,Education,53.586,10,Yes,No,6,6
10,16542.429419932454,3014.9447052141063,370.6334199747625,20563.017567837924,20933.65098781268,-6006.555504425805,20425.62002029256,21862.043104105247,"CLT, Glulam and Steel Column Hybrid",78905857.1312,130680.0,178312244.6554225,552.3409999185081,160.52923951799104,Education,55.60000000000001,10,Yes,No,6,6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,734400.0,0.0,0.0,,Residential,0.0,23,Yes,No,8,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,734400.0,0.0,0.0,,Residential,0.0,23,Yes,No,8,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,734400.0,0.0,0.0,,Residential,0.0,23,Yes,No,8,8
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,734400.0,0.0,0.0,,Residential,0.0,23,Yes,No,8,8
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,734400.0,0.0,0.0,,Residential,0.0,23,Yes,No,8,8
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,734400.0,0.0,0.0,,Residential,0.0,23,Yes,No,8,8
6,1086.6447848256,75.2654396416,2.3673332812272,6.115316970879999,8.4826502521072,0.0,1223.9410468273234,1232.4236970794304,Non-Composite Rolled Steel with PCC Planks,19829548.521,734400.0,470408.99775999994,0.0,,Residential,0.0,23,Yes,No,8,8
7,1002.4852802764799,69.43620988928,2.18398578917376,5.641692053503999,7.825677842677759,0.0,1129.1480900702074,1136.973767912885,Composite Rolled Steel with Metal Decking,,734400.0,433976.31180799997,0.0,,Residential,0.0,23,Yes,No,8,8
8,,,,,,,,,Composite Cell Beams with Metal Decking,,734400.0,,0.0,,Residential,0.0,23,Yes,No,8,8
9,,,,,,,,,Steel Frame with CLT Slabs,,734400.0,,,,Residential,121.8011,23,Yes,No,8,8
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,734400.0,,,,Residential,128.685,23,Yes,No,8,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,35280.0,0.0,0.0,,Healthcare,0.0,14,Yes,No,7,7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,35280.0,0.0,0.0,,Healthcare,0.0,14,Yes,No,7,7
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,35280.0,0.0,0.0,,Healthcare,0.0,14,Yes,No,7,7
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,161112,35280.0,0.0,0.0,,Healthcare,0.0,14,Yes,No,7,7
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,35280.0,0.0,0.0,,Healthcare,0.0,14,Yes,No,7,7
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,35280.0,0.0,0.0,,Healthcare,0.0,14,Yes,No,7,7
6,69.35671010268,4.8039279724799995,0.15109854700941,0.39031914776399995,0.54141769477341,0.0,78.11984703096648,78.6612647257399,Non-Composite Rolled Steel with PCC Planks,1265650.2543,35280.0,30024.549828,0.0,,Healthcare,0.0,14,Yes,No,7,7
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,35280.0,,,,Healthcare,81.4408,14,Yes,No,7,7
8,,,,,,,,,Composite Cell Beams with Metal Decking,,35280.0,,,,Healthcare,83.61131433038017,14,Yes,No,7,7
9,,,,,,,,,Steel Frame with CLT Slabs,,35280.0,,,,Healthcare,86.2414,14,Yes,No,7,7
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,35280.0,,,,Healthcare,93.79999999999998,14,Yes,No,7,7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,80640.0,0.0,0.0,,Healthcare,0.0,4,Yes,Yes,8,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,80640.0,0.0,0.0,,Healthcare,0.0,4,Yes,Yes,8,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,80640.0,0.0,0.0,,Healthcare,0.0,4,Yes,Yes,8,8
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,80640.0,0.0,0.0,,Healthcare,0.0,4,Yes,Yes,8,8
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,80640.0,0.0,0.0,,Healthcare,0.0,4,Yes,Yes,8,8
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,80640.0,0.0,0.0,,Healthcare,0.0,4,Yes,Yes,8,8
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,80640.0,,,,Healthcare,24.208399999999997,4,Yes,Yes,8,8
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,80640.0,,,,Healthcare,23.816,4,Yes,Yes,8,8
8,,,,,,,,,Composite Cell Beams with Metal Decking,,80640.0,,,,Healthcare,24.30792,4,Yes,Yes,8,8
9,,,,,,,,,Steel Frame with CLT Slabs,,80640.0,,,,Healthcare,24.6804,4,Yes,Yes,8,8
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,80640.0,,,,Healthcare,28.96,4,Yes,Yes,8,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,64152.0,0.0,0.0,,Healthcare,0.0,33,No,Yes,6,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,64152.0,0.0,0.0,,Healthcare,0.0,33,No,Yes,6,6
2,,,,,,,,,RC Rib Slab,,64152.0,,,,Healthcare,195.525,33,No,Yes,6,6
3,,,,,,,,,Two-way RC Slab,,64152.0,,,,Healthcare,200.47499999999997,33,No,Yes,6,6
4,,,,,,,,,One-Way Spanning RC,,64152.0,,,,Healthcare,196.35,33,No,Yes,6,6
5,,,,,,,,,Precast Hollowcore with In-situ RC Beams,,64152.0,,,,Healthcare,183.975,33,No,Yes,6,6
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,64152.0,,,,Healthcare,199.0692,33,No,Yes,6,6
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,64152.0,,,,Healthcare,189.40349999999998,33,No,Yes,6,6
8,,,,,,,,,Composite Cell Beams with Metal Decking,,64152.0,,,,Healthcare,189.8192373811787,33,No,Yes,6,6
9,,,,,,,,,Steel Frame with CLT Slabs,,64152.0,,,,Healthcare,197.83169999999998,33,No,Yes,6,6
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,64152.0,,,,Healthcare,209.88,33,No,Yes,6,6
0,101067.87031126757,4523.0896224073595,3001.583831362457,7754.171680481641,10755.755511844096,9950.611046642927,111706.02311080537,122461.77862264946,RC Flat Slab,148584296.4274,299880.0,778289755.6616082,1040.0900749915625,375.97076559222666,Education,82.24000000000001,16,Yes,Yes,7,7
1,80206.49759774479,3775.3787814157877,2441.5865335150957,6307.581541978766,8749.16807549386,7032.399672831684,88845.42259140911,97594.59066690294,PT RC Flat Slab,148686381.8082,299880.0,666611083.8219376,1040.8046726573455,299.74065380841154,Education,80.08000000000001,16,Yes,Yes,7,7
2,65181.080329480916,3237.9070144195894,1905.1908155262277,4921.959220298635,6827.150035824864,7048.969688003215,72358.07878611902,79185.22882194385,RC Rib Slab,131115426.4088,299880.0,552069024.7794999,917.8079848614307,244.35069618174086,Education,88.4,16,Yes,Yes,7,7
3,78778.74791931099,3805.391091981023,2009.84836864645,5192.311568150179,7202.15993679663,13096.215242225046,87293.8827323371,94496.04266913373,Two-way RC Slab,142344896.0218,299880.0,572781328.036958,996.4142721524594,294.4187575179723,Education,87.2,16,Yes,Yes,7,7
4,68701.52855014357,3357.5544904695325,2017.3521941658566,5211.695518821273,7229.047712987129,7260.274622975656,76212.43251139892,83441.48022438603,One-Way Spanning RC,124892006.4433,299880.0,574241702.0829349,874.2440451033293,257.05841188642876,Education,88.80000000000001,16,Yes,Yes,7,7
5,73293.71625180925,3449.2532260528137,2174.103511839848,5616.616955435657,7790.720467275504,6604.118705653238,80529.22063334755,88319.94110062302,Precast Hollowcore with In-situ RC Beams,128976800.2351,299880.0,604967001.2297012,902.8376016455973,271.54881364210064,Education,82.80000000000001,16,Yes,Yes,7,7
6,74006.07134048574,5320.0085552567125,1842.176779615774,4759.978930580227,6602.155710196001,-3649.7099157671487,82064.58853549432,88666.7442456903,Non-Composite Rolled Steel with PCC Planks,185977067.2304,299880.0,534569440.10814726,1301.8394706126721,277.9992930709183,Education,89.11200000000001,16,Yes,Yes,7,7
7,64709.530704052086,4791.23919950052,1351.3482235751662,3492.1775893464655,4843.525812921629,-7105.438410953174,72189.30286605141,77032.82867897303,Composite Rolled Steel with Metal Decking,169929896.796,299880.0,435315485.7013159,1189.5092775717064,244.6939180459621,Education,85.512,16,Yes,Yes,7,7
8,69814.80821729197,5476.662418448028,1374.9878774789609,3553.454006308867,4928.441883787826,-8678.396748166002,78056.65568194007,82985.09756572788,Composite Cell Beams with Metal Decking,197747679.3286,299880.0,440029056.23688525,1384.2337553002794,264.908928362146,Education,85.63356963935937,16,Yes,Yes,7,7
9,53300.405924437524,7323.226388866708,1009.1851858784279,31520.15366389388,32529.338849772306,-14144.977313291367,62866.32830164626,66643.00660095987,Steel Frame with CLT Slabs,182071555.6927,299880.0,365240896.6580341,1274.5008898490432,213.88831929937075,Education,88.48,16,Yes,Yes,7,7
10,47067.77785533261,7511.434300610468,1042.5507185485005,53166.150152430084,54208.70087097857,-15991.427729143827,57005.27936646757,61019.67775744617,"CLT, Glulam and Steel Column Hybrid",197650814.506,299880.0,372078669.6209456,1383.5557015416773,194.70733315996148,Education,94.4,16,Yes,Yes,7,7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,36960.0,0.0,0.0,,Healthcare,0.0,22,No,No,7,7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,36960.0,0.0,0.0,,Healthcare,0.0,22,No,No,7,7
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,36960.0,0.0,0.0,,Healthcare,0.0,22,No,No,7,7
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,36960.0,0.0,0.0,,Healthcare,0.0,22,No,No,7,7
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,36960.0,0.0,0.0,,Healthcare,0.0,22,No,No,7,7
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,36960.0,0.0,0.0,,Healthcare,0.0,22,No,No,7,7
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,36960.0,,,,Healthcare,,22,No,No,7,7
7,77.24286882312,5.35015541632,0.16827910707894003,0.434700127576,0.60297923465494,0.0,87.00241242356705,87.60539165822198,Composite Rolled Steel with Metal Decking,,36960.0,33438.471352,0.0,,Healthcare,0.0,22,No,No,7,7
8,89.57924087111999,6.204622744320001,0.19515477475494003,0.504125597976,0.69928037273094,0.0,100.89747024681307,101.59675061954401,Composite Cell Beams with Metal Decking,,36960.0,38778.892152,0.0,,Healthcare,0.0,22,No,No,7,7
9,15418.451187664103,1637.5393501964872,270.7793182477756,4738.315937399935,5009.0952556477105,-3122.2761792321735,17648.28541062269,18641.13601795236,Steel Frame with CLT Slabs,49570501.7346,36960.0,57011880.17637716,346.9935121420399,486.88525223930543,Healthcare,136.39999999999998,22,No,No,7,7
10,14020.163950716582,1442.6804676812324,339.173191586655,9863.143400614937,10202.316592201598,-2558.2175992475836,16210.17747112026,17475.117263321856,"CLT, Glulam and Steel Column Hybrid",38912598.1687,36960.0,71024063.05365472,272.38818718093694,445.9568630492748,Healthcare,154.44,22,No,No,7,7
0,677.0823943411815,34.962195081165966,23.45220115266656,60.63585598805654,84.08805714072311,59.10373467777102,753.7936161567038,837.8816732974269,RC Flat Slab,1686166.8876,2100.0,6244608.541071393,11.803168212953054,364.5698973188843,Healthcare,5.4799999999999995,1,No,No,6,6
1,552.1259682635354,30.539033977450273,19.97980723077455,51.66593626930918,71.64574350008374,43.50430816519631,616.8971769445053,688.5429204445888,PT RC Flat Slab,1722911.6169,2100.0,5555646.826644109,12.060381318546817,299.50359917288193,Healthcare,5.3549999999999995,1,No,No,6,6
2,488.2081304808591,28.499960305955934,17.502291056225776,45.26599384126465,62.76828489749044,46.69053353139777,546.9737525900558,609.7420374875463,RC Rib Slab,1644704.566,2100.0,5064375.673040118,11.512931962020714,265.9460402628936,Healthcare,5.725,1,No,No,6,6
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,2100.0,0.0,0.0,,Healthcare,0.0,1,No,No,6,6
4,509.7435994306673,29.285398808193793,18.030260284358764,46.62984877732603,64.66010906168479,50.501058219697036,570.5779348177626,635.2380438794474,One-Way Spanning RC,1598735.2116,2100.0,5169287.591198686,11.191146481328257,277.03289585670996,Healthcare,5.725,1,No,No,6,6
5,550.8919980066643,30.166204545571343,19.50499310966005,50.439392091566795,69.94438520122686,44.28843620724209,609.9938631701417,679.9382483713686,Precast Hollowcore with In-situ RC Beams,1661232.4028,2100.0,5462329.384601822,11.628626819726662,296.010709518985,Healthcare,5.45,1,No,No,6,6
6,554.801842453908,37.015343545603706,18.432547459840798,47.67193710942071,66.1044845692615,3.537810483978958,616.0462905704748,682.1507751397363,Non-Composite Rolled Steel with PCC Planks,1875240.6371,2100.0,5249448.232129045,13.126684460013522,299.6061785859468,Healthcare,5.9581,1,No,No,6,6
7,518.0836600578363,35.85549024901263,15.301966951333405,39.58657845177617,54.88854540310958,-28.641567489633985,579.2552598493239,634.1438052524334,Composite Rolled Steel with Metal Decking,1834787.0478,2100.0,4629561.786339875,12.843509334349145,281.9517948493681,Healthcare,5.7331,1,No,No,6,6
8,560.7251477975713,41.620286319001615,15.497068153165703,40.09234335670809,55.58941150987379,-41.97806634672263,628.2792977034046,683.8687092132783,Composite Cell Beams with Metal Decking,2055759.3178,2100.0,4668466.779026946,14.390315224357801,306.0331490132202,Healthcare,5.73804,1,No,No,6,6
9,453.34322209054795,57.43913895543002,12.68769171460411,226.99253770607723,239.68022942068131,-85.5819348340265,532.5528814804778,579.1444258858686,Steel Frame with CLT Slabs,2116190.7886,2100.0,4111950.9126998936,14.813335519945138,260.6505795240109,Healthcare,5.7722,1,No,No,6,6
10,392.40055861911196,58.17282304299571,12.767636945786142,403.5294995804171,416.2971365262031,-99.54743815322665,473.45272089965005,521.2969614258534,"CLT, Glulam and Steel Column Hybrid",2215333.5372,2100.0,4129166.5856495886,15.50733476034195,232.83812174285333,Healthcare,6.08,1,No,No,6,6
0,28107.247436865113,1099.345625210357,846.8228130339353,2188.027751242161,3034.850564276096,2917.422016757069,30910.823685402,33945.67424967811,RC Flat Slab,48008274.1654,138320.0,184488014.17459103,336.05791915770135,225.90284560844202,Residential,32.69,7,No,Yes,8,8
1,22713.97227715282,899.4896612559421,722.3308746515909,1866.4390380835957,2588.7699127351866,1840.04020107608,24997.65246598787,27586.42237872307,PT RC Flat Slab,50606396.0303,138320.0,159615321.77213264,354.24477221205444,183.28439298872127,Residential,32.2,7,No,Yes,8,8
2,20990.22252236835,845.3296658841912,640.9967241777791,1656.335917137833,2297.3326413156115,2157.140369877788,23110.25773468151,25407.59037599712,RC Rib Slab,47770154.9694,138320.0,142778865.25619176,334.3910847859495,169.49572599383643,Residential,34.825,7,No,Yes,8,8
3,23218.223907763022,935.8771302004217,667.6990172979798,1725.3135248005465,2393.012542098527,2995.8826409571207,25556.734282587393,27949.746824685924,Two-way RC Slab,41261942.282,138320.0,148178468.10392353,288.83359597391654,186.85344041759188,Residential,35.0,7,No,Yes,8,8
4,23032.449842869344,912.9643323614032,714.158303254259,1845.3275769479144,2559.485880202174,2150.8179670968243,25345.814213695314,27905.3000938975,One-Way Spanning RC,42983641.6737,138320.0,157395753.13149098,300.8854917157861,185.41570058857073,Residential,35.0,7,No,Yes,8,8
5,22091.45981284431,851.7488262785423,691.6484267567944,1787.1798582261981,2478.8282849829925,1632.4054891835485,23997.106089347086,26475.934374330085,Precast Hollowcore with In-situ RC Beams,44531888.3621,138320.0,152922851.6913589,311.7232185344825,175.74341604888355,Residential,33.075,7,No,Yes,8,8
6,21506.5434103426,1330.9206856178082,575.7765562591262,1488.0694603821275,2063.8460166412533,-1072.2832044165002,23593.25035191718,25657.09636855844,Non-Composite Rolled Steel with PCC Planks,60760009.7731,138320.0,129853498.08161741,425.3200684119285,173.6449567692966,Residential,35.819,7,No,Yes,8,8
7,21745.8972588698,1347.0785285244656,468.8919045873391,1212.0578730639293,1680.949777651268,-2867.138432445638,23976.829743973132,25657.7795216244,Composite Rolled Steel with Metal Decking,59992018.2241,138320.0,108295822.83978,419.9441275689303,176.37922116499468,Residential,35.5432,7,No,Yes,8,8
8,24550.738020415512,1696.5889902366707,489.6745872987431,1265.8464616789815,1755.5210489777244,-3583.7930762998835,27187.513758183944,28943.034807161668,Composite Cell Beams with Metal Decking,73634618.987,138320.0,113391634.10233521,515.4423329091588,200.2816374428362,Residential,35.616279999999996,7,No,Yes,8,8
9,15652.721690048727,2310.5136319810185,320.8681152235381,13784.231247826037,14105.099363049572,-5489.183340668714,18652.874788496923,19874.69586408474,Steel Frame with CLT Slabs,60996962.9539,138320.0,79132540.84665194,426.978740676957,137.93994743474465,Residential,35.3752,7,No,Yes,8,8
10,14332.15268576724,2533.978051942808,331.01519739800693,21814.882819275324,22145.89801667333,-6615.880114470255,17623.26264154688,18925.364178220218,"CLT, Glulam and Steel Column Hybrid",78420329.882,138320.0,81175641.98236494,548.9423091737776,131.37799993291395,Residential,37.205000000000005,7,No,Yes,8,8
0,70772.3407555558,3188.364470326368,2077.2974207236075,5366.419027086054,7443.716447809664,7366.082067742554,78238.53220090848,85682.24864871812,RC Flat Slab,110512580.6792,240768.0,542511353.5302609,773.588064754081,328.1670332671391,Residential,84.87,18,Yes,Yes,8,8
1,56938.32367486598,2652.273616635599,1714.4472873508355,4429.101245894591,6143.548533245426,5295.463638440767,63039.96648817928,69183.51502142473,PT RC Flat Slab,114246464.5711,240768.0,463086603.177495,799.7252519975729,265.15023483260586,Residential,83.42999999999999,18,Yes,Yes,8,8
2,50834.01548542135,2437.571845260257,1486.3202267925242,3839.801337845301,5326.121564637824,5464.717718580932,56343.61419475608,61669.73575939394,RC Rib Slab,103603264.7902,240768.0,414606493.3134353,725.222853531498,237.02833037732418,Residential,91.80000000000001,18,Yes,Yes,8,8
