,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Has Basement,Has Transfer Deck,Grid_X,Grid_Y,Bays_X,Bays_Y
5,40890.49625713252,1472.765070829782,1195.4307248786567,3088.208552032079,4283.639276910734,3890.5964480887815,44480.56598920304,48764.20526611376,Precast Hollowcore with In-situ RC Beams,74026202.5075,144210.0,249325997.58044925,518.1834175527547,312.0362624419651,Office,116.72500000000001,23,No,No,6,6,5.0,19.0
6,44966.95988852394,2672.9295079680883,1114.790643140519,2880.3521529010222,3995.1427960415413,-1577.6334868356798,49388.89368485265,53384.03648089419,Non-Composite Rolled Steel with PCC Planks,111703465.5132,144210.0,232181249.30572444,781.9242585927166,347.90110216659986,Office,126.2884,23,No,No,6,6,5.0,19.0
7,38442.51253008653,2261.617388391833,821.3805586581075,2122.44341335373,2943.8239720118368,-3302.4022748855177,42370.60040851724,45314.42438052909,Composite Rolled Steel with Metal Decking,99081709.9999,144210.0,172774397.21634194,693.5719699996221,298.62126328629677,Office,121.05820000000001,23,No,No,6,6,5.0,19.0
8,38609.63179077633,2511.4170456221063,765.5391400611355,1978.2957856848736,2743.834925746009,-4296.968572819286,42684.750021468826,45428.58494721484,Composite Cell Beams with Metal Decking,108799902.3638,144210.0,161297541.1006713,761.599316546751,301.27140515925095,Office,118.20526774181934,23,No,No,6,6,5.0,19.0
9,31892.73685110988,3400.304286782977,642.2037582844102,14992.670045091567,15634.873803375971,-6269.475231453885,36709.93962086842,39085.13758326581,Steel Frame with CLT Slabs,103293879.2829,144210.0,136281247.41118336,723.0571549804386,259.5728227990351,Office,123.4502,23,No,No,6,6,5.0,19.0
10,30715.44235920241,3640.748702576788,701.9286637598005,26183.908441221323,26885.83710498112,-7347.279829952138,35955.340581387085,38605.06679036821,"CLT, Glulam and Steel Column Hybrid",116783924.0431,144210.0,148359449.52297634,817.4874683014903,254.9949937569418,Office,130.64000000000001,23,No,No,6,6,5.0,19.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,109620.0,0.0,0.0,,Healthcare,0.0,28,Yes,Yes,10,10,3.0,9.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,109620.0,0.0,0.0,,Healthcare,0.0,28,Yes,Yes,10,10,3.0,9.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,109620.0,0.0,0.0,,Healthcare,0.0,28,Yes,Yes,10,10,3.0,9.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,109620.0,0.0,0.0,,Healthcare,0.0,28,Yes,Yes,10,10,3.0,9.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,109620.0,0.0,0.0,,Healthcare,0.0,28,Yes,Yes,10,10,3.0,9.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,109620.0,0.0,0.0,,Healthcare,0.0,28,Yes,Yes,10,10,3.0,9.0
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,109620.0,,,,Healthcare,,28,Yes,Yes,10,10,3.0,9.0
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,109620.0,,,,Healthcare,,28,Yes,Yes,10,10,3.0,9.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,109620.0,,,,Healthcare,,28,Yes,Yes,10,10,3.0,9.0
9,,,,,,,,,Steel Frame with CLT Slabs,,109620.0,,,,Healthcare,,28,Yes,Yes,10,10,3.0,9.0
10,11.974906944,0.829430784,0.026088190128,0.0673912512,0.093479441328,0.0,13.487922037974386,13.581401479302386,"CLT, Glulam and Steel Column Hybrid",,109620.0,5183.9424,0.0,,Healthcare,0.0,28,Yes,Yes,10,10,3.0,9.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,565812.0,0.0,0.0,,Healthcare,0.0,30,Yes,Yes,12,12,9.0,13.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,565812.0,0.0,0.0,,Healthcare,0.0,30,Yes,Yes,12,12,9.0,13.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,565812.0,0.0,0.0,,Healthcare,0.0,30,Yes,Yes,12,12,9.0,13.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,565812.0,0.0,0.0,,Healthcare,0.0,30,Yes,Yes,12,12,9.0,13.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,565812.0,0.0,0.0,,Healthcare,0.0,30,Yes,Yes,12,12,9.0,13.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,565812.0,0.0,0.0,,Healthcare,0.0,30,Yes,Yes,12,12,9.0,13.0
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,565812.0,,,,Healthcare,,30,Yes,Yes,12,12,9.0,13.0
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,565812.0,,,,Healthcare,,30,Yes,Yes,12,12,9.0,13.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,565812.0,,,,Healthcare,,30,Yes,Yes,12,12,9.0,13.0
9,,,,,,,,,Steel Frame with CLT Slabs,,565812.0,,,,Healthcare,,30,Yes,Yes,12,12,9.0,13.0
10,44.905901039999996,3.11036544,0.09783071298,0.252717192,0.35054790498,0.0,50.579707642403946,50.93025554738394,"CLT, Glulam and Steel Column Hybrid",,565812.0,19439.784,0.0,,Healthcare,0.0,30,Yes,Yes,12,12,9.0,13.0
0,37930.46946455095,2086.650931506998,1130.8617208349706,2921.6466881292745,4052.508408964246,3866.195782510648,42313.73977232421,46366.24818128846,RC Flat Slab,64898407.4051,153600.0,363181065.7770579,454.28885183535726,278.4376863552055,Office,45.09,9,Yes,Yes,8,8,12.0,16.0
1,31194.47265639032,1835.8482313444172,962.887379770275,2487.733834907011,3450.6212146772873,2719.4186594193393,34925.058940437266,38375.68015511454,PT RC Flat Slab,67758226.4965,153600.0,328672596.1925647,474.30758547572646,230.46462581974603,Office,44.370000000000005,9,Yes,Yes,8,8,12.0,16.0
2,29481.543608901033,1786.302126665125,879.1631612105499,2271.4566682350937,3150.619829445644,3080.709480550716,33053.28362763064,36203.90345707629,RC Rib Slab,65062691.956,153600.0,311996575.46762544,455.4388436916896,218.15574525600476,Office,48.150000000000006,9,Yes,Yes,8,8,12.0,16.0
3,31667.087489235964,1876.3784673231128,899.9768369140139,2325.222745561479,3225.199582475493,3989.1200685527215,35453.461804688646,38678.66138716414,Two-way RC Slab,59469199.3198,153600.0,316141790.8724073,416.2843952384682,233.5269934891088,Office,48.375,9,Yes,Yes,8,8,12.0,16.0
4,31635.836945971834,1858.6700220710645,953.0605429346969,2462.349060170297,3415.409603104995,3126.243645348112,35411.96877607688,38827.37837918187,One-Way Spanning RC,60922107.5651,153600.0,326762056.0752028,426.4547529555431,233.3230698504715,Office,48.150000000000006,9,Yes,Yes,8,8,12.0,16.0
5,30798.088409059797,1799.461507576125,935.3371985401585,2416.5659549285688,3351.9031534687283,2577.6919355521363,34164.4658775118,37516.369030980524,Precast Hollowcore with In-situ RC Beams,62063416.9474,153600.0,323226233.7947876,434.4439186318262,225.25331898531007,Office,45.675000000000004,9,Yes,Yes,8,8,12.0,16.0
6,29508.91687011396,2343.69244854949,782.798228600458,2022.778791189888,2805.577019790346,-760.0065931666065,33032.83063990779,35838.40765969814,Non-Composite Rolled Steel with PCC Planks,79247074.6191,153600.0,291272625.4338023,554.7295223335274,218.66901147292523,Office,48.978,9,Yes,Yes,8,8,12.0,16.0
7,30155.24724372685,2397.0663667776853,679.079688331655,1754.9574687203326,2434.037157051988,-2663.673069961281,33880.421561253934,36314.458718305905,Composite Rolled Steel with Metal Decking,79677359.1415,153600.0,270945796.2530108,557.7415139902123,224.2067908544541,Office,48.7098,9,Yes,Yes,8,8,12.0,16.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,153600.0,,,,Office,48.0978,9,Yes,Yes,8,8,12.0,16.0
9,23877.731405155777,3407.2844144047313,524.6561101597619,14782.63145790904,15307.287568068798,-5440.40920761541,28409.295557020985,30363.873644967476,Steel Frame with CLT Slabs,80680196.3557,153600.0,240387132.2362404,564.7613744896253,188.63318314785556,Office,48.4866,9,Yes,Yes,8,8,12.0,16.0
10,22211.948698279615,3612.7660794775124,538.3581388376856,23697.69987926713,24236.058018104803,-6547.344136060906,27028.59598880189,29080.980150906715,"CLT, Glulam and Steel Column Hybrid",97882763.3373,153600.0,243205057.61965522,685.1793433609577,180.42822481876854,Office,51.480000000000004,9,Yes,Yes,8,8,12.0,16.0
0,5028.189187977098,361.9674126854932,153.54300461587698,396.73253827010853,550.2755428859854,496.49264457690464,5695.419324861263,6245.694867747248,RC Flat Slab,9658840.0972,15400.0,64463071.04547764,67.61188068017108,374.2228055546386,Residential,14.145,3,Yes,No,10,10,5.0,7.0
1,4489.231860412433,342.36138082543437,140.16860361791527,362.1836633623088,502.3522669802238,403.6947400786637,5104.712173764022,5607.064440744248,PT RC Flat Slab,10280415.1441,15400.0,61805465.2833392,71.96290600876013,336.14773245277803,Residential,13.905,3,Yes,No,10,10,5.0,7.0
2,4462.221536123018,342.4359746007822,137.06118134074043,354.15654173224954,491.21772307299,437.84614637556706,5075.743352719525,5566.9610757925175,RC Rib Slab,9818346.6702,15400.0,61242440.260278895,68.72842669110692,334.0566090526384,Residential,15.524999999999999,3,Yes,No,10,10,5.0,7.0
3,4638.964428620992,350.3228622679073,136.8177171676788,353.52762285499153,490.3453400226703,541.9827255841197,5270.112274931707,5760.457614954379,Two-way RC Slab,9543575.882,15400.0,61194061.88510521,66.80503117416049,346.55307182505635,Residential,15.075000000000001,3,Yes,No,10,10,5.0,7.0
4,4762.296407942677,352.4135963865664,147.48851420798616,381.0925233068536,528.5810375148396,442.05442781334597,5404.208884151476,5932.789921666316,One-Way Spanning RC,9565647.8927,15400.0,63314438.84294075,66.95953524873399,355.2706765844292,Residential,15.600000000000001,3,Yes,No,10,10,5.0,7.0
5,4390.447824546477,336.51234471775524,136.43188305128572,352.53093263877486,488.9628156900606,369.28023945745883,4961.888325088805,5450.8511407788665,Precast Hollowcore with In-situ RC Beams,9444425.8194,15400.0,61117393.40693469,66.1109807361147,326.4934614172026,Residential,14.55,3,Yes,No,10,10,5.0,7.0
6,4475.299244858669,381.61757126600355,130.97685266122986,338.4573827746465,469.43423543587625,140.9946147763684,5071.309673354025,5540.743908789904,Non-Composite Rolled Steel with PCC Planks,10893424.2685,15400.0,60043786.3484614,76.25396987961668,334.2573794307559,Residential,16.4094,3,Yes,No,10,10,5.0,7.0
7,4233.262024006776,381.54070317898294,110.41386652890732,285.35135315508495,395.76521968399237,-77.58848230790501,4828.635284223383,5224.4005039073745,Composite Rolled Steel with Metal Decking,10806848.1856,15400.0,55732990.3273848,75.64793729925154,318.45994944952173,Residential,15.503700000000002,3,Yes,No,10,10,5.0,7.0
8,4406.5446561835515,404.5808313741642,111.23297178944436,287.4743314121925,398.70730320163693,-128.78181552753816,5027.638255256712,5426.345558458351,Composite Cell Beams with Metal Decking,11779756.8705,15400.0,55896296.34716231,82.4582980936583,331.8244515162578,Residential,15.597179999999998,3,Yes,No,10,10,5.0,7.0
9,3759.744226870065,496.0167478483338,95.68693940602053,1509.3353264160583,1605.022265822079,-397.99905124294185,4450.222189659774,4800.168002882465,Steel Frame with CLT Slabs,11497493.0462,15400.0,52739139.129158154,80.48245132316451,294.20160006382713,Residential,15.615,3,Yes,No,10,10,5.0,7.0
10,3416.0509044524265,485.29738718077544,96.05147032009116,2279.4546393977357,2375.506109717826,-420.23528155383565,4100.457363485438,4455.919713203264,"CLT, Glulam and Steel Column Hybrid",12074334.3682,15400.0,52816166.12586676,84.52034057707304,271.7517989650981,Residential,17.025000000000002,3,Yes,No,10,10,5.0,7.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,14400.0,0.0,0.0,,Healthcare,0.0,1,Yes,Yes,12,12,4.0,10.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,14400.0,0.0,0.0,,Healthcare,0.0,1,Yes,Yes,12,12,4.0,10.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,14400.0,0.0,0.0,,Healthcare,0.0,1,Yes,Yes,12,12,4.0,10.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,14400.0,0.0,0.0,,Healthcare,0.0,1,Yes,Yes,12,12,4.0,10.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,14400.0,0.0,0.0,,Healthcare,0.0,1,Yes,Yes,12,12,4.0,10.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,14400.0,0.0,0.0,,Healthcare,0.0,1,Yes,Yes,12,12,4.0,10.0
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,14400.0,,,,Healthcare,6.506,1,Yes,Yes,12,12,4.0,10.0
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,14400.0,,,,Healthcare,6.1998999999999995,1,Yes,Yes,12,12,4.0,10.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,14400.0,,,,Healthcare,6.3784,1,Yes,Yes,12,12,4.0,10.0
9,,,,,,,,,Steel Frame with CLT Slabs,,14400.0,,,,Healthcare,6.2059999999999995,1,Yes,Yes,12,12,4.0,10.0
10,0.5880534660000002,0.040730976000000016,0.0012811164795000006,0.0033093918000000008,0.0045905082795000005,0.0,0.6623533143648137,0.6669438226443137,"CLT, Glulam and Steel Column Hybrid",,14400.0,254.56860000000006,0.0,,Healthcare,0.0,1,Yes,Yes,12,12,4.0,10.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,8960.0,0.0,0.0,,Healthcare,0.0,1,No,No,7,7,8.0,10.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,8960.0,0.0,0.0,,Healthcare,0.0,1,No,No,7,7,8.0,10.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,8960.0,0.0,0.0,,Healthcare,0.0,1,No,No,7,7,8.0,10.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,8960.0,0.0,0.0,,Healthcare,0.0,1,No,No,7,7,8.0,10.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,8960.0,0.0,0.0,,Healthcare,0.0,1,No,No,7,7,8.0,10.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,8960.0,0.0,0.0,,Healthcare,0.0,1,No,No,7,7,8.0,10.0
6,2612.3034920354203,180.9100808386567,82.2707347472158,212.77159937939072,295.0423341266065,-45.17082126186642,2894.408579089776,3189.4509132163826,Non-Composite Rolled Steel with PCC Planks,8211599.7358,8960.0,22990123.170327164,57.481198150671545,329.4519840670143,Healthcare,6.415699999999999,1,No,No,7,7,8.0,10.0
7,2439.0505515838004,196.93191306429065,63.44870675010625,164.16577588156179,227.61448263166804,-259.7780348303322,2741.008896514639,2968.6233791463064,Composite Rolled Steel with Metal Decking,8808094.2968,8960.0,19254310.0007694,61.65666007763507,312.79749515538776,Healthcare,5.8835,1,No,No,7,7,8.0,10.0
8,2642.8148023381837,224.28397758811832,64.42347583528566,166.6921950538215,231.11567088910715,-323.2837672512102,2975.195525022655,3206.3111959117614,Composite Cell Beams with Metal Decking,10030156.3178,8960.0,19448649.93709707,70.21109422434034,339.88913161238787,Healthcare,6.091506055596467,1,No,No,7,7,8.0,10.0
9,2667.2072580632353,366.6089516512111,55.448557120513755,1122.5514463729028,1178.000003493417,-708.1996086870765,3132.437110611476,3336.8020478459734,Steel Frame with CLT Slabs,11693338.0233,8960.0,17671302.492889386,81.85336616305274,358.73777642572867,Healthcare,6.199999999999999,1,No,No,7,7,8.0,10.0
10,1748.495027560296,300.8441688229299,53.49078826547422,2317.0468414386773,2370.5376297041507,-621.5416168924156,2149.4808053889615,2353.381635093113,"CLT, Glulam and Steel Column Hybrid",8430397.8937,8960.0,17285683.483991407,59.012785255873844,246.48365967018253,Healthcare,7.02,1,No,No,7,7,8.0,10.0
0,49816.08503988367,2228.38164223902,1430.6759690743959,3695.9724691859215,5126.6484382603185,5694.093678533519,55050.16820047426,60176.816638734585,RC Flat Slab,92204563.1575,231000.0,370646554.369277,645.4319421025946,241.10649412370935,Education,117.24000000000001,24,Yes,No,6,6,11.0,20.0
1,44756.326965195825,2041.944126324272,1306.32279451997,3374.742212016019,4681.065006535991,4803.695756693416,49502.41407476184,54183.479081297824,PT RC Flat Slab,103221524.3979,231000.0,345561822.6603713,722.5506707856018,217.42408980756468,Education,116.52000000000001,24,Yes,No,6,6,11.0,20.0
2,44773.370461577084,2051.615431813744,1282.7260465100599,3313.786876868709,4596.512923378772,5189.049277797687,49525.98455022256,54122.49747360134,RC Rib Slab,100216177.3863,231000.0,341152693.84522897,701.5132417044075,217.43505537630722,Education,120.0,24,Yes,No,6,6,11.0,20.0
3,44938.92150107066,2067.0873908930434,1226.5984128945286,3168.7974606735966,4395.395873568126,6176.572473514921,49706.44677069383,54101.84264426196,Two-way RC Slab,85921817.7587,231000.0,328213120.5458166,601.4527243111697,217.78311469699133,Education,120.60000000000001,24,Yes,No,6,6,11.0,20.0
4,46225.807884597525,2105.25208285152,1318.0906227241794,3405.140973397979,4723.231596122161,5449.92712559513,51118.56553814841,55841.79713427058,One-Way Spanning RC,91863737.1703,231000.0,348290133.8746506,643.0461601923456,224.07624111835827,Education,120.60000000000001,24,Yes,No,6,6,11.0,20.0
5,53081.826956190205,2290.5039145359206,1525.54364543286,3941.035517901279,5466.57916333414,5394.681204132617,58031.783897473964,63498.363060808115,Precast Hollowcore with In-situ RC Beams,100213745.4749,231000.0,389056750.7771626,701.4962183240121,254.2566238779133,Education,120.0,24,Yes,No,6,6,11.0,20.0
6,45415.042267219615,3261.4257407153077,1085.2036527686241,2804.0675375521346,3889.271190320759,-2146.374197936007,50414.355228182554,54303.62641850331,Non-Composite Rolled Steel with PCC Planks,136990790.3383,231000.0,300399461.6042221,958.9355323679164,222.39519809762112,Education,127.1952,24,Yes,No,6,6,11.0,20.0
7,49608.396945567954,3500.439836341189,978.3732653209004,2528.3223973930067,3506.6956627139093,-5912.70181277792,55098.92367274806,58605.61933546196,Composite Rolled Steel with Metal Decking,136640195.7718,231000.0,276576975.87567955,956.4813704027453,242.66409109589094,Education,126.1104,24,Yes,No,6,6,11.0,20.0
8,51787.96305745434,3932.764906724846,953.4522955370669,2464.0897171159286,3417.542012652996,-7044.92665214234,57683.83880388254,61101.38081653554,Composite Cell Beams with Metal Decking,153783645.0079,231000.0,273650671.1119522,1076.4855150551903,254.3736983503798,Education,119.80704,24,Yes,No,6,6,11.0,20.0
9,35722.41146530101,4748.841154164975,679.6311407013997,22259.49088457389,22939.12202527528,-9206.045991627543,42019.91633909421,44568.87322675482,Steel Frame with CLT Slabs,127210552.5136,231000.0,217469392.9559306,890.4738675950111,185.7592649640226,Education,125.0352,24,Yes,No,6,6,11.0,20.0
10,33863.517082832266,5021.0521071479525,705.761661309412,33303.16487795596,34008.92653926536,-10589.352982783455,40545.02841710984,43247.82964437521,"CLT, Glulam and Steel Column Hybrid",126091121.7733,231000.0,222748424.3503173,882.6378524131334,179.34054662131157,Education,128.64000000000001,24,Yes,No,6,6,11.0,20.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,32400.0,0.0,0.0,,Residential,0.0,30,No,Yes,10,10,3.0,3.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,32400.0,0.0,0.0,,Residential,0.0,30,No,Yes,10,10,3.0,3.0
2,14383.635370058793,532.0857862124057,422.8847611200294,1092.427508364587,1515.3122694846165,1451.4756612331419,15785.10621508383,17300.418484568447,RC Rib Slab,25187423.2268,32400.0,89205044.89184193,176.3119625878777,492.636363508386,Residential,159.0,30,No,Yes,10,10,3.0,3.0
