,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Concrete Mix,Has Basement,Has Transfer Deck,Cladding Type,Grid_X,Grid_Y
5,45645.47713632964,3233.4655534212307,2097.7711220342753,5419.376661648947,7517.147783683219,6535.268526591695,51038.42317294251,58555.57095662575,Precast Hollowcore with In-situ RC Beams,141553819.5863,353970.0,563592376.4430028,146.98788007471427,Residential,104.5,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
6,55590.96721458952,5480.046741659378,1714.1890001368042,4429.438104776645,6143.627104913445,-4895.070135082758,62666.12382872286,68809.75093363629,Non-Composite Rolled Steel with PCC Planks,209772902.9354,353970.0,483742646.59185183,181.18635519753198,Residential,113.8654,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
7,49881.862313437836,5198.944102091015,1382.1250084073586,3571.812480960497,4953.937489367856,-9064.377056463874,56764.25097273096,61718.188462098835,Composite Rolled Steel with Metal Decking,199728198.6583,353970.0,416345258.5213087,164.3143440498881,Residential,111.9184,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
8,53805.1715113089,5715.677789508171,1400.5700171624749,3619.6176911556154,5020.18770831809,-10168.245050536849,61266.82643936073,66287.01414767883,Composite Cell Beams with Metal Decking,221338390.7639,353970.0,420022582.38247144,177.46191817020582,Residential,111.93687999999999,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
9,40162.2123338516,7998.930223231692,941.7044844011365,43180.53160137857,44122.23608577971,-17447.844310719724,49747.57966742812,53347.522175226215,Steel Frame with CLT Slabs,191030228.333,353970.0,325228382.88656723,144.31955043014727,Residential,111.71600000000001,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
10,33936.62213218339,7696.142862166494,967.9182153976786,55797.761390483545,56765.67960588123,-17368.93712409433,43295.50923941668,47058.02884529796,"CLT, Glulam and Steel Column Hybrid",225394111.5041,353970.0,330628685.7887857,126.77138746206046,Residential,119.57000000000001,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
0,10754.664147030864,451.69626208413547,311.15733644446834,803.8156696916126,1114.9730061360813,1174.8117402159257,11855.570570263355,12970.543576399436,RC Flat Slab,18055570.1561,29160.0,75369081.01368089,410.90396300946344,Education,114.08,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
1,9524.896983594466,405.78703503308043,282.32408907894467,729.3333615442095,1011.6574506231543,936.2616345057917,10506.841687248543,11518.499137871702,PT RC Flat Slab,19203242.025,29160.0,69518915.81391592,364.9267620515589,Education,112.81500000000001,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
2,10537.068610466336,444.45699559643026,305.6517601550156,789.5936146965036,1095.2453748515195,1139.0316487685016,11617.739877580607,12712.985252432125,RC Rib Slab,19838235.6218,29160.0,74395833.66402183,403.17584111567334,Education,120.17500000000001,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
3,10539.726612220058,446.1339066221832,301.51518052255415,778.9079643791667,1080.4231449017211,1206.3981898219004,11621.505330305785,12701.928475207505,Two-way RC Slab,18303550.1882,29160.0,73622163.3149818,402.93656315579403,Education,121.325,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
4,11272.707815002761,468.66923065487407,329.96004180381885,852.386990043636,1182.3470318474551,1169.321644699681,12422.513911905453,13604.860943752907,One-Way Spanning RC,19250336.9967,29160.0,79105336.425375,430.63327403575397,Education,121.90000000000002,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
5,9927.040463056323,413.7434159350689,292.6292663977433,755.9537897894913,1048.5830561872353,912.672515594981,10866.747762902805,11915.33081909004,Precast Hollowcore with In-situ RC Beams,17553794.6661,29160.0,71614943.81584659,376.8732621936072,Education,116.15000000000002,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
6,10497.505087310738,652.6398540992714,266.13120758362436,687.5974194351852,953.7286270188099,-181.21005279545528,11610.383034398945,12564.111661417752,Non-Composite Rolled Steel with PCC Planks,25697955.1339,29160.0,65660747.719432056,404.3302030293612,Education,126.51610000000001,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
7,10478.21172908291,649.0675546969663,241.40789767249112,623.7509962561128,865.1588939286041,-575.3690401605543,11614.318058965608,12479.476952894209,Composite Rolled Steel with Metal Decking,25079966.9526,29160.0,60778457.79246037,404.31679792981765,Education,124.48519999999999,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
8,10369.534189252437,657.2214445858282,234.55288768640077,606.0481567245819,840.6010444109827,-623.228029770874,11501.504739809838,12342.105784220821,Composite Cell Beams with Metal Decking,25606775.5909,29160.0,59355302.740281895,400.57449139046645,Education,120.51126,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
9,8650.715364392076,866.5103878009483,196.52550245856384,3877.8137862298604,4074.3392886884244,-1272.4818778807935,9940.91547290221,10663.78687168238,Steel Frame with CLT Slabs,24601361.7727,29160.0,51164274.87583271,346.8149864647095,Education,124.37480000000001,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
10,8513.137775944962,843.1535606323828,211.3037864343276,4964.493645811667,5175.797432245992,-1194.5554960680035,9813.675501270056,10595.23200551605,"CLT, Glulam and Steel Column Hybrid",27561340.2571,29160.0,54218420.345992714,343.1620330270747,Education,132.48000000000002,23,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,9,9
0,4486.249110292603,497.3731498016204,245.09254053457008,633.2334302948008,878.3259708293709,927.0791170836089,5283.819090699323,6162.145061528693,RC Flat Slab,17327220.6937,33696.0,85866524.41928954,160.40804948822165,Education,34.72,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
1,3713.061395554086,451.6157554573309,217.33338488148303,561.5257256767916,778.8591105582744,691.1286373249292,4416.287595735827,5195.146706294098,PT RC Flat Slab,18242873.705,33696.0,80033606.77400866,134.8524368373266,Education,34.335,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
2,4022.0616301632367,464.5418761855064,219.03379320504305,565.9182360009407,784.9520292059836,835.6877622369642,4755.594127904475,5540.546157110455,RC Rib Slab,17728208.8703,33696.0,80388658.23860447,144.81515877244257,Education,36.575,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
3,4128.9006844045525,466.25008607550586,213.40149193984766,551.3688238901527,764.7703158300002,918.9537733293273,4868.801756861739,5633.572072691738,Two-way RC Slab,16103553.433,33696.0,79351001.13198777,147.83732878954703,Education,36.925000000000004,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
4,4374.068182229232,493.27479806745094,245.627694906465,634.6158459599042,880.2435408663692,868.4309121077482,5161.47996156353,6041.7235024299,One-Way Spanning RC,17524251.2373,33696.0,85968182.43445982,156.81830841122326,Education,37.10000000000001,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
5,4710.799489490757,452.92310170845565,222.6556608178804,575.2742775244152,797.9299383422955,645.3488670885096,5387.812337105065,6185.742275447359,Precast Hollowcore with In-situ RC Beams,16309714.3247,33696.0,81081452.82297902,163.28289225361223,Education,35.35000000000001,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
6,5082.373987986427,580.7776248376945,190.55328532381318,492.4037093165913,682.9569946404043,-80.76074048223946,5845.290558501723,6528.247553142125,Non-Composite Rolled Steel with PCC Planks,20695165.6173,33696.0,74757874.46401443,177.7705578651065,Education,38.5049,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
7,4926.948658529343,603.9252270825793,166.58220229740112,430.51003022182374,597.0922325192247,-569.438694189916,5729.024617272228,6326.116849791452,Composite Rolled Steel with Metal Decking,21028636.6351,33696.0,70005795.9262612,174.3893955875544,Education,37.8868,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
8,5073.334819192418,622.1160320083442,166.63745339146888,430.6583641775878,597.2958175690566,-600.1702216573452,5896.073567637866,6493.369385206922,Composite Cell Beams with Metal Decking,22053942.6337,33696.0,70012719.38039786,179.5599230197513,Education,36.677339999999994,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
9,4176.456044107611,878.1021465563515,126.51959476105702,4044.2427050148876,4170.762299775944,-1375.282709663616,5245.662545051399,5719.654202625509,Steel Frame with CLT Slabs,20916045.9432,33696.0,61800431.22556305,160.0212151784669,Education,37.8532,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
10,3489.1953887710765,834.8712312493997,127.70692394866722,5203.842018338447,5331.548942287116,-1330.891329738146,4520.192765270528,5004.7608051576435,"CLT, Glulam and Steel Column Hybrid",23372108.2432,33696.0,62046480.96283065,139.0015884073127,Education,40.32000000000001,7,C32/40 - 75% GGBS,Yes,No,Lightweight Cladding,9,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,691200.0,0.0,,Education,0.0,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,691200.0,0.0,,Education,0.0,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,691200.0,0.0,,Education,0.0,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,691200.0,0.0,,Education,0.0,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,691200.0,0.0,,Education,0.0,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,691200.0,0.0,,Education,0.0,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
6,1224.6271129092002,84.82265717120002,2.6679376388379006,6.8918408951600005,9.559778533997902,0.0,1379.3572761569635,1388.9170546909613,Non-Composite Rolled Steel with PCC Planks,22347507.7547,691200.0,530141.6073200001,,Education,0.0,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
7,1159.6445352491999,80.3216994112,2.5263684517929,6.52613807716,9.052506528952899,0.0,1306.164227943436,1315.2167344723887,Composite Rolled Steel with Metal Decking,,691200.0,502010.62132,,Education,0.0,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
8,1245.3607161996,86.25875090559998,2.7131072745776996,7.008523511079998,9.721630785657698,0.0,1402.7105452934154,1412.432176079073,Composite Cell Beams with Metal Decking,,691200.0,539117.1931599999,,Education,0.0,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
9,,,,,,,,,Steel Frame with CLT Slabs,,691200.0,,,Education,162.42030000000003,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,691200.0,,,Education,178.64000000000001,29,C32/40 - 50% GGBS,Yes,No,Timber Cladding,6,6
0,9524.644570074324,687.8660025541186,545.8458017176013,1410.2113237057129,1956.0571254233132,1828.1493147113133,10855.349990092958,12811.407115516271,RC Flat Slab,29810155.7101,55296.0,115899782.02111691,200.0871867777672,Healthcare,44.96,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
1,6474.868510205912,492.0002992411013,398.6072364840527,1029.863316147614,1428.4705526316668,1099.4296130561813,7409.877607992799,8838.348160624464,PT RC Flat Slab,28602209.5583,55296.0,86109041.14332388,137.62465774922634,Healthcare,43.4,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
2,6383.203223292541,464.1730892378592,352.2754015810285,910.1784967259917,1262.4538983070202,1301.7625703401634,7275.290854364459,8537.74475267148,RC Rib Slab,26867498.8979,55296.0,76768834.92105371,134.97112533726514,Healthcare,47.8,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
3,9118.585501006417,586.1320132846247,383.87415635387816,991.8046888863583,1375.6788452402366,2492.9162472262974,10290.075983897685,11665.754829137923,Two-way RC Slab,29511285.5054,55296.0,83033876.4492682,189.82665983860338,Healthcare,47.6,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
4,7126.817172266504,517.6630745682268,400.61134338193864,1035.040343404945,1435.6516867868834,1412.903032868539,8123.815452914747,9559.467139701628,One-Way Spanning RC,26769003.1033,55296.0,86392467.58725405,150.30379185904314,Healthcare,49.2,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
5,7664.589145863168,455.09064052701405,366.9785088623936,948.1596978502332,1315.1382067126267,1017.7031289400792,8484.131726841591,9799.269933554215,Precast Hollowcore with In-situ RC Beams,24266960.7993,55296.0,79585099.72171873,156.50319105246015,Healthcare,45.4,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
6,9107.069257806586,759.2429700802995,315.6180008553707,815.6123480898962,1131.2303489452668,-601.8926822048052,10144.648204133788,11275.878553079056,Non-Composite Rolled Steel with PCC Planks,33330866.4263,55296.0,68821778.1805213,187.68019873259914,Healthcare,49.5584,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
7,7888.022855071358,746.9544054729449,232.77425708533374,601.6543130160678,834.4285701014015,-1430.4977578690978,8908.19197101361,9742.620541115006,Composite Rolled Steel with Metal Decking,33095243.685,55296.0,52494676.04710754,165.28968961241983,Healthcare,47.6976,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
8,9052.838134708876,902.7424470876687,240.26282315541678,621.0460422621643,861.308865417581,-1781.8369048070936,10247.501811626229,11108.810677043806,Composite Cell Beams with Metal Decking,39408527.4976,55296.0,54026729.178952664,190.30963368253123,Healthcare,48.55088,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
9,7999.014249748863,1397.3788045411284,186.20689853686844,6988.136958226389,7174.343856763256,-3216.3692505882045,9690.851406258074,10394.266822654357,Steel Frame with CLT Slabs,38897779.0686,55296.0,43297964.06963737,180.17823820418423,Healthcare,48.903999999999996,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
10,6070.535366180756,1284.519016674823,197.89080572192677,10465.116534321558,10663.007340043481,-3102.103532748578,7672.597047691631,8436.721827735111,"CLT, Glulam and Steel Column Hybrid",43946698.0052,55296.0,45546589.63800257,144.318285838538,Healthcare,55.04,8,C32/40 - 75% GGBS,No,Yes,Cavity Wall,9,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,196560.0,0.0,,Education,0.0,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,196560.0,0.0,,Education,0.0,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,196560.0,0.0,,Education,0.0,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,196560.0,0.0,,Education,0.0,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,196560.0,0.0,,Education,0.0,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,196560.0,0.0,,Education,0.0,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,196560.0,,,Education,,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
7,310.80670937315995,21.52773744576,0.6771146168486699,1.7491286674679996,2.4262432843166697,0.0,350.0767633943915,352.5030066787082,Composite Rolled Steel with Metal Decking,,196560.0,134548.35903599998,,Education,0.0,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
8,332.03095301376,22.997814927359997,0.72335314763712,1.8685724628479996,2.5919256104851196,0.0,373.9826646993551,376.5745903098402,Composite Cell Beams with Metal Decking,,196560.0,143736.34329599998,,Education,0.0,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
9,39709.21782174411,6094.767369770751,708.8085854069662,25433.789066441997,26142.597651848966,-14166.58389341091,47126.94780418947,49797.98582301091,Steel Frame with CLT Slabs,167358502.9804,196560.0,152795171.5188273,245.7186473598494,Education,121.7979,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
10,31122.60164259377,5723.969063334939,788.1725917718588,45271.116880655005,46059.289472426855,-14021.672158231166,38371.8653967341,41434.68446916095,"CLT, Glulam and Steel Column Hybrid",157045164.6028,196560.0,169313360.14918557,200.8098369401403,Education,136.92000000000002,21,C32/40 - 50% GGBS,No,Yes,Curtain Walling,9,9
0,78692.64521119752,3589.9868121218096,2264.301079452242,5849.582246742644,8113.883326194886,8965.790683064899,87031.552852538,95145.43617873287,RC Flat Slab,143594252.3002,408000.0,599120081.6478109,215.77625641823423,Residential,109.80000000000001,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
1,69114.07638653998,3237.882923377678,2034.0156684648482,5254.70686813636,7288.72253660121,7198.575367633535,76530.89117795051,83819.6137145517,PT RC Flat Slab,159901197.4373,408000.0,553111648.1488097,190.3191165686552,Residential,108.96000000000001,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
2,64430.934249578175,3069.306796227137,1867.8137737869583,4825.372614621691,6693.186388408651,7188.095264409065,71391.20783333488,78084.39422174351,RC Rib Slab,151827371.8487,408000.0,517466029.0005395,177.58333195165594,Residential,114.0,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
3,64560.5819095914,3112.7379203486234,1752.182924749156,4526.673948453497,6278.856873202654,9102.606107761896,71551.43142284174,77830.2882960444,Two-way RC Slab,125666749.9368,408000.0,494733360.819641,177.5272026284303,Residential,113.4,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
4,65749.05059763117,3122.5889810822855,1886.6068589440702,4873.9190839793555,6760.525942923427,7636.612982356024,72838.80907690222,79599.33501982564,One-Way Spanning RC,138294169.7389,408000.0,521378981.97159487,180.89918692420306,Residential,115.80000000000001,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
5,80204.68810019994,3553.4362566058817,2305.0818663229447,5954.9275481473405,8260.009414470287,8041.094941481129,87637.99136451034,95898.00077898061,Precast Hollowcore with In-situ RC Beams,155083625.9703,408000.0,606799713.1602399,217.45974692721248,Residential,112.19999999999999,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
6,70654.13281317306,5224.659854892483,1673.2740028176415,4323.6887536140175,5996.962756431658,-4177.12924058259,78250.70461195406,84247.66736838572,Non-Composite Rolled Steel with PCC Planks,213238338.6382,408000.0,479248454.51229924,195.4494435843656,Residential,119.5584,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
7,73390.63466840053,5344.404022855169,1379.5139683778673,3565.1611155923056,4944.6750839701745,-10184.888468925643,81544.17027163273,86488.84535560291,Composite Rolled Steel with Metal Decking,209589499.6187,408000.0,418786570.6889401,203.45906070824464,Residential,118.31040000000002,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
8,77514.33277000401,5987.061657076123,1373.7583414185704,3550.5011102981066,4924.25945171668,-11742.237009385988,86329.86991125905,91254.12936297573,Composite Cell Beams with Metal Decking,233689006.5808,408000.0,417528759.31956744,215.60218862089295,Residential,112.19423999999998,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
9,45930.92164592411,7303.18657899185,794.8469676163639,38267.67489848588,39062.52186610226,-15735.530216196148,55142.56605992815,58191.28976089279,Steel Frame with CLT Slabs,184558705.7446,408000.0,299438660.9279895,138.3197965689715,Residential,116.11680000000001,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
10,45575.49147859528,8159.411684113492,875.8879711121996,58570.86382496328,59446.75179607549,-18969.083229502714,55926.52397885729,59375.961214932795,"CLT, Glulam and Steel Column Hybrid",194264727.7196,408000.0,319174507.02681696,140.40778694336942,Residential,118.92,24,C32/40 - CEM I (OPC),Yes,No,Cavity Wall,6,6
0,18498.501878239113,1067.4167824127521,854.9882784352578,2209.006041542379,3063.994319977637,2609.5141666733816,20761.53261142686,23825.526931404493,RC Flat Slab,44476816.8367,91728.0,183286770.2809593,229.73214644692547,Healthcare,33.72,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
1,13060.28579332623,788.8220201921646,639.2424775537318,1651.6895166621323,2290.931994215864,1582.6690934341332,14700.70260575256,16991.63459996842,PT RC Flat Slab,43250511.4656,91728.0,140614267.75547335,163.5646278782036,Healthcare,32.55,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
2,11112.379987077464,665.4128881610449,500.75034012806134,1293.9353613648218,1794.6857014928835,1720.5434692478184,12493.62408961897,14288.309791111855,RC Rib Slab,38314967.9957,91728.0,111970906.9504344,139.12686274189736,Healthcare,35.849999999999994,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
3,16757.617585243457,908.8909204209913,558.7060079345538,1443.64697219133,2002.3529801258837,4157.790538583011,18705.448895077738,20707.801875203615,Two-way RC Slab,44810516.3071,91728.0,123484063.60540222,207.34260541194936,Healthcare,35.4,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
4,11982.290356460486,718.8515119490859,548.6801838468206,1417.7481717659884,1966.428355612809,1773.9521355582024,13474.75206088657,15441.18041649938,One-Way Spanning RC,36058708.5034,91728.0,122419335.34403159,149.6507393643206,Healthcare,36.0,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
5,13793.443209618674,731.1295287990276,581.4160920514969,1502.3118690656986,2083.7279611171953,1526.973889356752,15214.576435162715,17298.304396279906,Precast Hollowcore with In-situ RC Beams,37506750.2503,91728.0,129153837.27698974,168.72845463669248,Healthcare,33.599999999999994,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
6,15432.385262355969,1181.3041653446112,491.94701560135064,1271.3888517992505,1763.3358674006006,-972.348605428585,17113.810023727954,18877.145891128548,Non-Composite Rolled Steel with PCC Planks,51310560.3047,91728.0,110354749.05160077,190.48691725384904,Healthcare,36.2232,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
7,13903.300646881324,1190.8686258680007,371.4125053817432,960.1017221039702,1331.5142274857135,-2365.8875556624625,15601.88390469009,16933.398132175804,Composite Rolled Steel with Metal Decking,50733924.4602,91728.0,85810110.91696033,173.96020163866186,Healthcare,34.8732,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
8,,,,,,,,,Composite Cell Beams with Metal Decking,,91728.0,,,Healthcare,35.094359999999995,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
9,12951.063283509115,2039.8737733105806,282.02728493972205,9081.548308703523,9363.575593643243,-4652.29464167334,15464.292744875605,16521.544179497447,Steel Frame with CLT Slabs,58678938.9674,91728.0,68055287.63256972,173.06651532407886,Healthcare,36.1242,6,C32/40 - 50% GGBS,No,Yes,PC Cladding,7,7
