,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Has Basement,Has Transfer Deck,Grid_X,Grid_Y
10,28023.730443300883,6478.25599022889,462.7260361397059,59144.13210491465,59606.85814105435,-18904.601940517918,35842.50046069647,37820.441760150854,"CLT, Glulam and Steel Column Hybrid",157651813.5373,278460.0,110539975.96800272,1103.5626947611267,132.6799653647116,Residential,74.81500000000001,13,No,No,10,10
0,13401.358256611487,497.7209732516964,391.9635327841725,1012.6000327325088,1404.5635655166814,1430.1225389385465,14708.940558335384,16113.504123852066,RC Flat Slab,22299411.0735,41580.0,82256699.20101868,156.09587751444627,357.5044837866722,Office,70.77000000000001,14,No,Yes,9,9
1,10951.72292123418,407.2294893294782,329.42757775860997,851.0565820951889,1180.4841598537992,1036.1646806742788,12022.413071917526,13202.897231771327,PT RC Flat Slab,23420605.6929,41580.0,69467934.9670964,163.94423985061215,293.0821864302102,Office,69.51,14,No,Yes,9,9
2,10779.974663866265,402.81391354098423,315.78647597181293,815.8187632718681,1131.6052392436814,1155.9184415262632,11834.381355022866,12965.986594266547,RC Rib Slab,22610220.7362,41580.0,66546926.179699115,158.2715451537113,288.42359067283735,Office,77.0,14,No,Yes,9,9
3,11592.010605680609,437.6441521411248,318.84617938665855,823.7226171005802,1142.5687964872388,1567.8457211992422,12726.717296412126,13869.286092899372,Two-way RC Slab,22059209.1207,41580.0,67137960.80731352,154.41446384456313,309.79152862570197,Office,75.25,14,No,Yes,9,9
4,11934.382499615716,444.09123328339155,352.8568979688596,911.5794162200266,1264.436314188886,1220.5751280732586,13100.375347706584,14364.811661895474,One-Way Spanning RC,22199772.9162,41580.0,74276397.22511144,155.3984104137349,318.8016776844714,Office,77.35000000000001,14,No,Yes,9,9
5,10867.820310266705,393.51552391465765,323.5515404226003,835.877548738383,1159.4290891609837,955.5277339092268,11811.90788143765,12971.336970598637,Precast Hollowcore with In-situ RC Beams,20390873.5179,41580.0,67925762.88813251,142.73611462513907,287.5094756147857,Office,72.45000000000002,14,No,Yes,9,9
6,11953.269329519037,716.228761539507,299.9776595873396,775.1014968316988,1075.0791564190388,-441.9898052119996,13134.69190348229,14209.771059901328,Non-Composite Rolled Steel with PCC Planks,30985790.9943,41580.0,63437914.999756664,216.9005369604122,321.10611929876626,Office,78.4294,14,No,Yes,9,9
7,10211.339122369645,594.9629857753814,224.27360068482622,579.5468029339694,803.8204036187957,-878.3022047180234,11253.703742689837,12057.524146308635,Composite Rolled Steel with Metal Decking,27154818.6446,41580.0,47605216.880594686,190.08373051199635,275.22336395386804,Office,76.769,14,No,Yes,9,9
8,11004.369354820803,705.9394255324563,227.03245169225485,586.7081567719812,813.7406084642362,-1142.8224550451087,12167.444558378073,12981.185166842311,Composite Cell Beams with Metal Decking,31379587.8589,41580.0,48150368.2344008,219.65711501260418,297.91009315513895,Office,76.28683999999998,14,No,Yes,9,9
9,8681.821209899988,1011.7407116514005,178.98427387249453,5330.361654530502,5509.345928402995,-2034.4621731337038,10090.358699852668,10758.695453943743,Steel Frame with CLT Slabs,29525659.7558,41580.0,38816578.600676164,206.67961829044833,247.64401919536115,Office,76.6906,14,No,Yes,9,9
10,8504.366177896052,985.7711369699214,206.7037441382875,7340.163764160525,7546.867508298812,-1966.2055327858025,9948.335866399782,10726.597998698599,"CLT, Glulam and Steel Column Hybrid",34307493.0177,41580.0,44452028.566758886,240.15245112382564,245.03338906983186,Office,81.76,14,No,Yes,9,9
0,3912.015260790501,174.95121969971268,126.53931879301688,327.0554464416246,453.5947652346416,364.2403046935236,4326.096014560237,4779.690779794881,RC Flat Slab,7640876.139,13860.0,30544636.035382558,53.48613297315421,315.98716793170206,Office,10.24,2,No,No,9,9
1,3820.8837722274807,170.6926626802485,127.24106502669942,328.8682037268452,456.10926875354465,301.3718930020677,4225.7841245199415,4681.893393273488,PT RC Flat Slab,9029213.6988,13860.0,30682097.25210031,63.20449589188918,309.450838413552,Office,10.260000000000002,2,No,No,9,9
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,13860.0,0.0,0.0,,Office,0.0,2,No,No,9,9
3,3767.032451082685,175.01221374951896,103.83382672032015,268.40241177792717,372.2362384982474,643.491943618341,4169.217390467937,4541.453628966185,Two-way RC Slab,7755374.2602,13860.0,25905130.19322094,54.28761982114667,304.7261912185486,Office,11.450000000000001,2,No,No,9,9
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,13860.0,0.0,0.0,,Office,0.0,2,No,No,9,9
5,3185.0545572779215,146.08024291823958,104.67738346069818,270.58149526027483,375.25887872097303,254.4807049901366,3487.7539093698615,3863.012788090834,Precast Hollowcore with In-situ RC Beams,7499103.6665,13860.0,26183774.01790399,52.49372566571194,255.42912229693889,Office,10.75,2,No,No,9,9
6,3059.6459390075306,203.9966739981439,88.55622252182818,228.96417302991026,317.5203955517385,-108.11330777136622,3371.2893283014505,3688.8097238531896,Non-Composite Rolled Steel with PCC Planks,9234353.925,13860.0,22814892.914791968,64.6404774753262,247.90258338937784,Office,11.6896,2,No,No,9,9
7,2784.265949947766,205.01351561057302,64.53371630624456,166.92331896970413,231.4570352759486,-354.25477883142406,3102.4697608128936,3333.9267960888415,Composite Rolled Steel with Metal Decking,9339134.1617,13860.0,18085058.975086626,65.37393913188242,228.5601515111671,Office,11.108,2,No,No,9,9
8,3070.8113173027978,243.4337057927359,66.04250374759292,170.83276887975086,236.87527262734375,-446.20107465028906,3431.628652476475,3668.503925103819,Composite Cell Beams with Metal Decking,10854941.7981,13860.0,18347407.909592696,75.98459258675608,253.07454870586085,Office,11.1112,2,No,No,9,9
9,2287.937320039882,366.5154865483692,47.363980396237345,1869.992702215419,1917.3566826116569,-814.3826481305533,2747.613282502624,2927.1717999766656,Steel Frame with CLT Slabs,10389621.1693,13860.0,14563963.402597554,72.72734818501715,203.4877799918933,Office,11.406,2,No,No,9,9
10,1789.9303771310886,350.5178037616558,47.25327074367415,2954.467581792751,3001.720852536425,-847.4825582536786,2238.975456802557,2424.075029338983,"CLT, Glulam and Steel Column Hybrid",9786359.7965,13860.0,14544333.509816434,68.50451857525114,166.48484670835555,Office,12.240000000000002,2,No,No,9,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,86400.0,0.0,0.0,,Healthcare,0.0,9,No,Yes,10,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,86400.0,0.0,0.0,,Healthcare,0.0,9,No,Yes,10,10
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,86400.0,0.0,0.0,,Healthcare,0.0,9,No,Yes,10,10
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,86400.0,0.0,0.0,,Healthcare,0.0,9,No,Yes,10,10
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,86400.0,0.0,0.0,,Healthcare,0.0,9,No,Yes,10,10
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,86400.0,0.0,0.0,,Healthcare,0.0,9,No,Yes,10,10
6,21417.311099039467,1435.0777991173165,516.8903111739917,1335.7519825149266,1852.6422936889187,-1511.3760086051207,23551.954805898888,25404.597099587805,Non-Composite Rolled Steel with PCC Planks,55068052.1659,86400.0,113996706.62958859,385.47636516111845,277.0536015168982,Healthcare,58.032,9,No,Yes,10,10
7,18298.348034870967,1340.934926114746,345.2857233751781,892.5248481211705,1237.8105714963488,-2829.4946720009707,20316.15271462468,21553.96328612103,Composite Rolled Steel with Metal Decking,53040768.4709,86400.0,78499641.03402089,371.2853792964828,239.4379409018653,Healthcare,55.035000000000004,9,No,Yes,10,10
8,22054.736386399778,1854.6215727575989,363.98495718577163,940.9882292866721,1304.9731864724436,-4085.4893057868203,24638.17378156262,25943.14696803506,Composite Cell Beams with Metal Decking,72425222.0408,86400.0,82236585.17448643,506.97655428570823,291.03183259083715,Healthcare,56.69874,9,No,Yes,10,10
9,19062.83890490306,2634.6294017469863,269.338999509522,9088.16111206309,9357.50011157261,-6276.819944461536,22301.63053259624,23313.687219092404,Steel Frame with CLT Slabs,73566647.8131,86400.0,63298805.91499212,514.9665346914121,264.08098457508856,Healthcare,55.6191,9,No,Yes,10,10
10,8.179289118,0.5665308480000001,0.017819165578500003,0.04603063140000001,0.0638497969785,0.0,9.212732463437861,9.276582260416362,"CLT, Glulam and Steel Column Hybrid",,86400.0,3540.8178000000003,0.0,,Healthcare,0.0,9,No,Yes,10,10
0,4604.2559604425405,413.00253516224063,147.070199730741,380.04864348425144,527.1188432149925,392.0223653001968,5298.085292968193,5825.204136183185,RC Flat Slab,9891093.1548,10560.0,75386345.89963543,69.237652083923,508.2692182814505,Office,5.010000000000001,1,Yes,Yes,8,8
1,4458.489769574256,406.8692114022624,146.09163667660033,377.5208104581553,523.6124471347556,324.913812231862,5137.949265072379,5661.561712207134,PT RC Flat Slab,9563591.0003,10560.0,75191897.20532034,66.94513700233026,492.8877274691959,Office,4.930000000000001,1,Yes,Yes,8,8
2,4443.594393663275,406.3543445033024,145.66977996634756,376.4310663482127,522.1008463145602,323.180567629388,5121.6416052784825,5643.742451593044,RC Rib Slab,9823032.9892,10560.0,75110052.3867009,68.7612309243799,491.51542009496796,Office,5.3500000000000005,1,Yes,Yes,8,8
3,4443.655074807892,406.3564483342104,145.6716149064109,376.4358063821567,522.1074212885675,323.18577583027985,5121.708066331332,5643.815487619901,Two-way RC Slab,9364161.7976,10560.0,75110417.00469661,65.54913258328249,491.21753777600514,Office,5.375,1,Yes,Yes,8,8
4,4429.9743589715345,405.11128782547235,145.70834512805044,376.5306882264318,522.2390333544822,314.8403760944185,5106.0314335552885,5628.270466909771,One-Way Spanning RC,9377047.4893,10560.0,74999584.41544183,65.6393324249924,489.74154980873874,Office,5.3500000000000005,1,Yes,Yes,8,8
5,4442.534256126621,406.3111297404031,145.62472170252965,376.3146714292594,521.9393931317891,323.2965622843919,5120.471777559925,5642.411170691714,Precast Hollowcore with In-situ RC Beams,9495560.3476,10560.0,75099117.28002065,66.46892243344291,491.1875662872507,Office,5.075,1,Yes,Yes,8,8
6,4448.217648094237,408.4043333871194,145.30833171871748,375.49807555016184,520.8064072688792,314.4379728956572,5127.812051437051,5648.6184587059315,Non-Composite Rolled Steel with PCC Planks,9657958.8976,10560.0,75038283.86377391,67.60571228291637,491.99031853408786,Office,5.442,1,Yes,Yes,8,8
7,4451.371319395352,408.6677173174479,145.3549013031674,375.6184248989644,520.9733262021317,314.1704168821869,5131.362253468665,5652.3355796707965,Composite Rolled Steel with Metal Decking,9677203.6643,10560.0,75049523.15736565,67.74042565040536,492.33926885597253,Office,5.4122,1,Yes,Yes,8,8
8,,,,,,,,,Composite Cell Beams with Metal Decking,,10560.0,,,,Office,5.3442,1,Yes,Yes,8,8
9,4429.62977934643,407.4871771031294,144.81412184120836,374.2212950936058,519.0354169348142,313.65490805033465,5107.327323955064,5626.362740889879,Steel Frame with CLT Slabs,10666268.6531,10560.0,74942051.63387653,74.66388057145087,490.71886406501085,Office,5.3874,1,Yes,Yes,8,8
10,4427.649121603501,407.36168214664696,144.90222615774724,374.44895749102363,519.3511836487709,313.42597743785024,5105.046979144263,5624.398162793035,"CLT, Glulam and Steel Column Hybrid",10368455.9539,10560.0,74961545.77736174,72.5791916774394,490.30550860053995,Office,5.720000000000001,1,Yes,Yes,8,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,72900.0,0.0,0.0,,Office,0.0,4,No,Yes,9,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,72900.0,0.0,0.0,,Office,0.0,4,No,Yes,9,9
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,72900.0,0.0,0.0,,Office,0.0,4,No,Yes,9,9
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,72900.0,0.0,0.0,,Office,0.0,4,No,Yes,9,9
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,72900.0,0.0,0.0,,Office,0.0,4,No,Yes,9,9
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,72900.0,0.0,0.0,,Office,0.0,4,No,Yes,9,9
6,15698.120173998841,928.7519809617762,443.1473712922556,1145.3364285098628,1588.483799802118,-487.26843372077565,17229.84583094768,18818.3296307498,Non-Composite Rolled Steel with PCC Planks,39129896.0676,72900.0,102631221.4591214,273.9092724731784,240.1063800194905,Office,23.8396,4,No,Yes,9,9
7,14041.42358224374,921.3801177658761,329.8105416052637,852.6243317633114,1182.4348733685747,-1543.948575486873,15566.85821026925,16749.29308363783,Composite Rolled Steel with Metal Decking,38957710.9697,72900.0,79731762.28807405,272.7039767880883,217.27794495277556,Office,22.248800000000003,4,No,Yes,9,9
8,15496.857103096034,1120.4521530296922,336.43047306116773,869.7867375798023,1206.2172106409698,-2017.8703721394504,17241.377753011646,18447.59496365262,Composite Cell Beams with Metal Decking,46875042.6518,72900.0,81051947.35088104,328.1252985627799,241.00827231240638,Office,22.26832,4,No,Yes,9,9
9,12421.829890820234,1599.5197988424152,265.41489913977944,7579.529865154625,7844.944764294408,-3454.834605387467,14553.73415276916,15543.40368770577,Steel Frame with CLT Slabs,47178518.6559,72900.0,66591402.47131573,330.24963059124946,204.1698735714734,Office,23.120400000000004,4,No,Yes,9,9
10,9940.913606915528,1476.718182084534,264.0776322205016,12144.25717419708,12408.334806417584,-3448.6080661789783,11968.876403743516,12978.742170161104,"CLT, Glulam and Steel Column Hybrid",42399288.616,72900.0,66340081.55362195,296.79502031180357,168.2533803025421,Office,24.96,4,No,Yes,9,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,399168.0,0.0,0.0,,Education,0.0,33,No,Yes,9,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,399168.0,0.0,0.0,,Education,0.0,33,No,Yes,9,9
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,399168.0,0.0,0.0,,Education,0.0,33,No,Yes,9,9
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,399168.0,0.0,0.0,,Education,0.0,33,No,Yes,9,9
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,399168.0,0.0,0.0,,Education,0.0,33,No,Yes,9,9
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,399168.0,0.0,0.0,,Education,0.0,33,No,Yes,9,9
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,399168.0,,,,Education,,33,No,Yes,9,9
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,399168.0,,,,Education,,33,No,Yes,9,9
8,,,,,,,,,Composite Cell Beams with Metal Decking,,399168.0,,,,Education,,33,No,Yes,9,9
9,711.7697199412801,49.30006718208001,1.55064117558636,4.005630458544,5.55627163413036,0.0,801.7009682375071,807.2572398716375,Steel Frame with CLT Slabs,10902899.473,399168.0,308125.419888,0.0,,Education,0.0,33,No,Yes,9,9
10,114.11681128848002,7.9041947212800014,0.24861162459276004,0.642215821104,0.8908274456967602,0.0,128.53533318289925,129.426160628596,"CLT, Glulam and Steel Column Hybrid",,399168.0,49401.21700800001,0.0,,Education,0.0,33,No,Yes,9,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,94080.0,0.0,0.0,,Education,0.0,27,Yes,Yes,8,8
1,28364.041503143602,1203.7694026684942,840.2090090867956,2170.52185724167,3010.730866328465,2790.399973665844,31283.42534057169,34294.15620690017,PT RC Flat Slab,53862437.3289,94080.0,206110280.3382795,377.0370613023259,336.5270238294432,Education,133.245,27,Yes,Yes,8,8
2,27377.273148445383,1161.956904603477,790.6849306829304,2042.590805229699,2833.2757359126294,3019.115043368326,30191.65587953074,33024.931615443376,RC Rib Slab,51941945.1432,94080.0,193678239.35782441,363.5936160022904,324.77943766510447,Education,144.45000000000002,27,Yes,Yes,8,8
3,29064.51081167827,1232.579418870012,802.3826505150007,2072.8084620239197,2875.19111253892,3789.9887780571985,32044.917607219246,34920.10871975817,Two-way RC Slab,49054216.7341,94080.0,195955032.29400647,343.37951713886025,344.26336229122137,Education,141.75,27,Yes,Yes,8,8
4,30535.64822220598,1287.5500284683253,891.0152203792253,2301.764926650828,3192.7801470300533,3213.3914242293545,33667.79478973787,36860.574936767924,One-Way Spanning RC,51231434.8936,94080.0,216921772.6216939,358.62004425486754,361.6753277422697,Education,145.125,27,Yes,Yes,8,8
5,28130.055650292732,1180.8339631588367,823.7228160187461,2127.9345726148163,2951.6573886335623,2667.4075217373766,30796.626451716616,33748.28384035019,Precast Hollowcore with In-situ RC Beams,48524371.6568,94080.0,203191610.59634084,339.6706015977797,330.95553840682817,Education,137.025,27,Yes,Yes,8,8
6,31465.596565549702,2063.060597491012,774.3756747621543,2000.7925083842963,2775.1681831464502,-1250.7708348592303,34782.16883200589,37557.337015152356,Non-Composite Rolled Steel with PCC Planks,76063503.809,94080.0,190886405.9378181,532.4445266629217,375.3679141014967,Education,150.32250000000002,27,Yes,Yes,8,8
7,27684.489762790585,1870.5197723715485,587.7379968628406,1518.712520823148,2106.45051768599,-2547.84099200926,30741.017083783674,32847.46760146967,Composite Rolled Steel with Metal Decking,70033766.519,94080.0,151233904.28350258,490.2363656332795,331.9648538415917,Education,146.1294,27,Yes,Yes,8,8
8,,,,,,,,,Composite Cell Beams with Metal Decking,,94080.0,,,,Education,144.46728,27,Yes,Yes,8,8
9,21675.005627100712,2450.927953682006,448.55547699003966,10704.604783752498,11153.160260742538,-4329.57510943141,25107.415491183234,26767.633855901306,Steel Frame with CLT Slabs,65838890.0228,94080.0,121829194.39827552,460.87223015969744,271.7717657455669,Education,145.4598,27,Yes,Yes,8,8
10,21794.436472571208,2684.1887217817675,498.44738103114145,17846.521456879327,18344.96883791046,-5171.029109270206,25601.469876279298,27478.938938189767,"CLT, Glulam and Steel Column Hybrid",82064530.4869,94080.0,132046451.74696293,574.4517134082051,278.23045907405935,Education,157.68,27,Yes,Yes,8,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,149760.0,0.0,0.0,,Education,0.0,10,No,Yes,12,12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,149760.0,0.0,0.0,,Education,0.0,10,No,Yes,12,12
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,149760.0,0.0,0.0,,Education,0.0,10,No,Yes,12,12
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,149760.0,0.0,0.0,,Education,0.0,10,No,Yes,12,12
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,149760.0,0.0,0.0,,Education,0.0,10,No,Yes,12,12
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,149760.0,0.0,0.0,,Education,0.0,10,No,Yes,12,12
6,206.17594517520007,14.280584947200003,0.4491690234174001,1.1602975269600002,1.6094665503774004,0.0,232.2260279460573,233.83549449643468,Non-Composite Rolled Steel with PCC Planks,3762384.8803,149760.0,89253.65592000002,0.0,,Education,0.0,10,No,Yes,12,12
7,33765.75164547584,2776.832590029651,558.7313533617778,1444.4518735201218,2003.1832268818996,-6458.912615076011,37650.901891177426,39654.085118059345,Composite Rolled Steel with Metal Decking,104919907.2481,149760.0,124412293.95461771,734.4393507370099,256.31237474568934,Education,57.90100000000001,10,No,Yes,12,12
8,36095.599568249985,3079.1537575530515,571.9502621083637,1478.6908842033704,2050.6411463117347,-7123.419254932152,40322.58226692271,42373.22341323444,Composite Cell Beams with Metal Decking,120488178.7871,149760.0,127054541.07139546,843.4172515096666,274.8798044767119,Education,59.36399999999999,10,No,Yes,12,12
9,32342.20548636715,4674.579037558519,407.94315625997643,15782.46831457336,16190.411470833335,-11568.15213005765,37955.951669991686,39500.10992981586,Steel Frame with CLT Slabs,129529334.3605,149760.0,94016703.46400695,906.7053405237825,259.4995793971385,Education,58.00000000000001,10,No,Yes,12,12
10,10.478043576000001,0.7257519360000001,0.022827166362000006,0.05896734480000001,0.08179451116200002,0.0,11.801931783227591,11.88372629438959,"CLT, Glulam and Steel Column Hybrid",,149760.0,4535.949600000001,0.0,,Education,0.0,10,No,Yes,12,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,294912.0,0.0,0.0,,Healthcare,0.0,31,Yes,No,12,12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,294912.0,0.0,0.0,,Healthcare,0.0,31,Yes,No,12,12
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,294912.0,0.0,0.0,,Healthcare,0.0,31,Yes,No,12,12
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,631296,294912.0,0.0,0.0,,Healthcare,0.0,31,Yes,No,12,12
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,294912.0,0.0,0.0,,Healthcare,0.0,31,Yes,No,12,12
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,294912.0,0.0,0.0,,Healthcare,0.0,31,Yes,No,12,12
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,294912.0,,,,Healthcare,,31,Yes,No,12,12
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,294912.0,,,,Healthcare,,31,Yes,No,12,12
8,,,,,,,,,Composite Cell Beams with Metal Decking,,294912.0,,,,Healthcare,,31,Yes,No,12,12
9,,,,,,,,,Steel Frame with CLT Slabs,,294912.0,,,,Healthcare,,31,Yes,No,12,12
10,26.847313693200004,1.8595541952000003,0.05848879054590002,0.15108877836,0.2095775689059,0.0,30.23943949763722,30.44901706654312,"CLT, Glulam and Steel Column Hybrid",,294912.0,11622.213720000002,0.0,,Healthcare,0.0,31,Yes,No,12,12
0,47647.16363228435,2710.6098955272337,1429.8450383229454,3694.1279286538665,5123.97296697681,4748.013542399635,53244.50465969157,58368.477626668384,RC Flat Slab,78213972.9574,168000.0,474796807.0030142,547.4978107018089,320.1904908951987,Residential,33.425000000000004,7,Yes,No,10,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,168000.0,0.0,0.0,,Residential,0.0,7,Yes,No,10,10
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,168000.0,0.0,0.0,,Residential,0.0,7,Yes,No,10,10
3,46590.17410664003,2723.506510891004,1235.6266067286244,3192.421100889104,4428.0477076177285,7240.582389003654,52108.27226529547,56536.31997291321,Two-way RC Slab,78657995.1247,168000.0,435915272.26317024,550.6059658728664,313.44570375695434,Residential,37.800000000000004,7,Yes,No,10,10
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,168000.0,0.0,0.0,,Residential,0.0,7,Yes,No,10,10
5,39350.784747388454,2379.482617949594,1192.3112283628554,3080.528419566699,4272.839647929554,3341.560308079894,43708.46570329088,47981.30535122043,Precast Hollowcore with In-situ RC Beams,74931930.4278,168000.0,427269426.41691613,524.5235129943319,263.2916024778882,Residential,35.35,7,Yes,No,10,10
6,38735.25160858123,3089.2235743794763,1027.8533777457078,2656.014431450669,3683.867809196377,-750.3251552327557,43295.37279293749,46979.24060213387,Non-Composite Rolled Steel with PCC Planks,96919749.3994,168000.0,393372277.64864004,678.4382457959573,261.7488752305562,Residential,39.2063,7,Yes,No,10,10
7,36715.11954848805,3287.7079436597223,761.0333247196858,1966.9831853764938,2728.016510096181,-3992.681426484505,41511.288204826305,44239.30471492249,Composite Rolled Steel with Metal Decking,103651283.241,168000.0,339155868.5998856,725.5589826872783,251.4098046875809,Residential,36.6604,7,Yes,No,10,10
8,38701.178139994234,3548.655304062928,770.9066067515795,1992.5675526603256,2763.474159411906,-4559.104288985873,43790.36772902596,46553.84188843787,Composite Cell Beams with Metal Decking,116047881.4155,168000.0,341128578.50386417,812.335169908716,265.49227916032544,Residential,37.21956,7,Yes,No,10,10
9,30646.300790815494,4727.488136485809,575.0690251126025,17548.749354674488,18123.81837978708,-7976.695589289672,36640.84084787761,38790.95892185432,Steel Frame with CLT Slabs,109035642.8781,168000.0,301575490.70302546,763.2495001465543,222.64339492871528,Residential,37.0293,7,Yes,No,10,10
