,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Concrete Mix,Has Basement,Has Transfer Deck,Cladding Type,Grid_X,Grid_Y
6,31485.018613722576,2295.052145024816,871.7173230393458,2252.2960866917692,3124.013409731114,-1120.0136067621074,35054.46481999715,38178.478229728265,Non-Composite Rolled Steel with PCC Planks,90804698.326,118098.0,217963281.82738382,635.6328882823137,302.2074692905846,Office,141.50500000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
7,32141.35916940663,2354.9868641537455,799.559466873425,2065.9897346390676,2865.5492015124905,-2806.101438488183,35885.42802792866,38750.97722944115,Composite Rolled Steel with Metal Decking,90345927.9963,118098.0,203682449.66524935,632.421495973909,309.2164941311671,Office,140.84720000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
8,31414.852559049137,2370.6380733005767,750.5230352421515,1939.3398442759196,2689.86287951807,-3012.511786724046,35103.71062000697,37793.57349952503,Composite Cell Beams with Metal Decking,92383708.431,118098.0,193602460.49828875,646.685959016833,302.7180526259869,Office,136.25924,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
9,25495.798729041668,3171.4802713873914,621.1354964405971,15391.434428844621,16012.56992528521,-5432.0689642270645,29867.73884632387,32169.758312893482,Steel Frame with CLT Slabs,85215450.9891,118098.0,165786174.41359437,596.5081569240318,257.9573490088562,Office,140.4676,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
10,24568.19734529021,3125.7263911054124,666.9928259467717,19864.167725334893,20531.16055128166,-5353.0214634335325,28990.008237377933,31480.1683886596,"CLT, Glulam and Steel Column Hybrid",98958471.4318,118098.0,175217707.79922634,692.7093000224531,251.33971394435457,Office,149.76000000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,258720.0,0.0,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,258720.0,0.0,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,258720.0,0.0,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,805560,258720.0,0.0,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,258720.0,0.0,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,258720.0,0.0,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
6,464.52245403563995,32.17471543104,1.0119953462919298,2.6141956287719994,3.6261909750639294,0.0,523.2143075700924,526.8404985451564,Non-Composite Rolled Steel with PCC Planks,8476800.027,258720.0,201091.97144399997,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
7,427.93032738456,29.640195836159997,0.9322767846592199,2.4082659116879994,3.3405426963472196,0.0,481.9988097143246,485.3393524106718,Composite Rolled Steel with Metal Decking,,258720.0,185251.22397599998,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
8,499.25533714055996,34.580456252160005,1.08766341305622,2.8096620704879998,3.8973254835442197,0.0,562.335648693162,566.2329741767063,Composite Cell Beams with Metal Decking,,258720.0,216127.851576,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
9,539.7008577760802,37.38187759488,1.1757768687264603,3.0372775545840005,4.21305442331046,0.0,607.8914122300565,612.1044666533669,Steel Frame with CLT Slabs,8267146.0066,258720.0,233636.73496800003,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
10,93.08316745728,6.44731895808,0.20278832910336,0.523844665344,0.7266329944473601,0.0,104.8441137440798,105.57074673852716,"CLT, Glulam and Steel Column Hybrid",,258720.0,40295.743488,0.0,,Healthcare,0.0,21,C32/40 - CEM I (OPC),Yes,Yes,Lightweight Cladding,7,7
0,4974.126488245631,185.363832543014,143.57438777891687,370.91224742426544,514.4866352031823,562.3514243255727,5459.757575584486,5974.244210787669,RC Flat Slab,8806702.9645,19584.0,30138669.8724382,61.646920751277925,281.934461618452,Office,84.15,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
1,4181.849793027065,156.22086902925216,124.5056715497249,321.6537653617725,446.1594369114974,416.51341048364,4591.188510748234,5037.347947659732,PT RC Flat Slab,9480511.9752,19584.0,26324124.674970504,66.36358382625693,237.8243512344001,Office,83.215,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
2,4201.854080694341,157.87530678624051,120.13268468164756,310.3574257124919,430.49011039413944,497.4837777128666,4613.196803688901,5043.68691408304,RC Rib Slab,9421777.8163,19584.0,25341332.35191363,65.95244471378541,238.92714707938555,Office,88.825,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
3,4325.338827110737,163.40891734919208,119.9677985787339,309.9314904242897,429.8992890030236,570.1577337039191,4749.020498775363,5178.919787778387,Two-way RC Slab,8426336.8518,19584.0,25313249.750351146,58.984357962732304,245.50678394291745,Office,88.825,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
4,4636.818863197518,173.1375708707436,135.06353610274797,348.92693758021267,483.99047368296067,506.50982121262064,5090.082096307352,5574.072569990311,One-Way Spanning RC,8847528.9607,19584.0,28447492.192126453,61.932702725241626,263.07265109439305,Office,89.25,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
5,4218.257178637225,152.96394988833663,123.62031838376228,319.366712970811,442.98703135457345,394.6041763355566,4578.210589223465,5021.197620578038,Precast Hollowcore with In-situ RC Beams,8550203.102,19584.0,26010946.191826686,59.851421713674696,236.82914680030328,Office,85.0,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
6,4157.5008809836545,248.44296910450933,104.1520585401446,269.11771455773004,373.2697730978747,-154.67080508614504,4563.769787309643,4937.039560407516,Non-Composite Rolled Steel with PCC Planks,11907052.1811,19584.0,21959663.39223188,83.34936526795238,237.29162339550632,Office,93.551,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
7,4389.784327563561,272.20281440933996,88.8689327903856,229.6597295054049,318.5286622957904,-500.15190254869185,4841.127373971619,5159.65603626741,Composite Rolled Steel with Metal Decking,12210802.8851,19584.0,18963927.0449935,85.47562019568733,251.56265288844494,Office,90.8565,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
8,4762.329264046076,323.3133509632193,90.39473750728548,233.617073322278,324.0118108295634,-619.5609675713054,5269.807222196358,5593.819033025922,Composite Cell Beams with Metal Decking,14183986.134,19584.0,19263851.25767699,99.28790293822887,274.15722656937237,Office,90.74668,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
9,3264.6597962796427,420.0059468935691,62.28550947594864,2300.847362409795,2363.132871885743,-917.528988521351,3827.473876532994,4062.5186750242433,Steel Frame with CLT Slabs,11647462.0733,19584.0,13542160.298283545,81.53223451330147,199.60202772907962,Office,91.43620000000001,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
10,3248.97143286523,467.2398706808559,70.46880619222681,3692.620102937635,3763.088909129861,-1097.6601932468939,3883.061074672752,4154.9494718026135,"CLT, Glulam and Steel Column Hybrid",14826869.779,19584.0,15375288.135075629,103.78808845323023,203.57685677726624,Office,95.88000000000001,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,546975.0,0.0,0.0,,Healthcare,0.0,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,546975.0,0.0,0.0,,Healthcare,0.0,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,546975.0,0.0,0.0,,Healthcare,0.0,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,546975.0,0.0,0.0,,Healthcare,0.0,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,546975.0,0.0,0.0,,Healthcare,0.0,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,546975.0,0.0,0.0,,Healthcare,0.0,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,546975.0,,,,Healthcare,,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
7,105302.26058707542,10626.739444734514,2606.5364155472585,6736.4827059642585,9343.019121511517,-21663.30179148923,119174.60413128838,128517.62325279988,Composite Rolled Steel with Metal Decking,412732487.1735,546975.0,562728867.8405817,2889.1274102146194,223.1614452973225,Healthcare,149.24499999999998,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
8,121543.37592430391,12821.576775194246,2707.1858881666403,6997.151155021662,9704.337043188303,-26766.00437945976,137858.8724658504,147563.20950903866,Composite Cell Beams with Metal Decking,498118324.9227,546975.0,582949346.6318712,3486.8282744590924,258.4134571786818,Healthcare,151.9245,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
9,108067.45607442953,17987.28952316978,1996.2033966191245,75775.96339299099,77772.16678961016,-42558.15877458995,129443.07587700008,136988.3362445919,Steel Frame with CLT Slabs,477740113.9804,546975.0,433215727.60481405,3344.1807978626794,242.76659202863524,Healthcare,154.75249999999997,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
10,87291.49565798117,16928.38196230113,2316.278782784723,121952.71497322097,124268.99375600569,-40787.646154980146,108155.20071854763,117095.3403945533,"CLT, Glulam and Steel Column Hybrid",454746568.3192,546975.0,498941206.28728825,3183.225978234159,203.55304483163175,Healthcare,176.0,25,C32/40 - 75% GGBS,No,Yes,PC Cladding,9,9
0,4584.7859628561155,344.30462933570595,230.969291200744,597.16049828674,828.1297894874842,614.9559953757208,5229.9646954015225,6058.094484889007,RC Flat Slab,16205855.2785,20196.0,61024720.55981276,113.4409869495556,264.5774253491324,Office,5.12,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
1,3594.5064412667734,292.6112347293372,192.25845464415102,497.16231145401116,689.4207660981623,423.21553375950157,4125.465064362184,4814.885830460348,PT RC Flat Slab,16567844.4678,20196.0,53157415.64466282,115.97491127463098,210.01386292517407,Office,4.995,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
2,3378.2801712756886,278.32510294509075,172.3877523154027,445.8321315685214,618.219883883924,475.6726059342013,3878.9609846735952,4497.18086855752,RC Rib Slab,15435825.5604,20196.0,49212036.59913114,108.05077892302877,197.41591223988038,Office,5.6000000000000005,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
3,4262.383875986144,317.22859854140097,184.2137748538403,476.3812210865915,660.5949959404319,834.6577739472476,4853.133738822883,5513.728734763316,Two-way RC Slab,15984203.8871,20196.0,51560934.45196789,111.88942720982052,245.84190760708574,Office,5.5,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
4,3689.767778156254,295.57923800733977,189.15066646230568,489.1342446156626,678.2849110779683,498.09475606975644,4228.309776667933,4906.594687745903,One-Way Spanning RC,15173378.8035,20196.0,52541936.26189643,106.21365162444748,214.6228673149327,Office,5.65,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
5,3912.087355024748,281.5689019597067,183.20823708902165,473.78370674130736,656.9919438303291,388.90908623543356,4390.716391866046,5047.708335696376,Precast Hollowcore with In-situ RC Beams,15174920.2654,20196.0,51360093.546085045,106.2244418578412,222.66492541710673,Office,5.2250000000000005,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
6,4356.122609140617,384.021856328317,168.82094722813306,436.65936605482926,605.4803132829622,-108.09461269250562,4906.494491838756,5511.974805121718,Non-Composite Rolled Steel with PCC Planks,18226736.4049,20196.0,48506439.25192405,127.58715483450403,249.26132138409884,Office,5.6021,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
7,3715.8703418923897,349.9007988267627,137.3195593453769,355.29300217683215,492.6125615222092,-363.18954637972496,4233.626924653838,4726.239486176047,Composite Rolled Steel with Metal Decking,17139188.0754,20196.0,42252648.734844536,119.97431652753336,215.56750055364284,Office,5.487500000000001,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
8,4055.6979737836223,395.3903244210164,138.8744001090198,359.3234401431212,498.19784025214113,-465.755330973913,4624.075592574328,5122.27343282647,Composite Cell Beams with Metal Decking,19017644.5376,20196.0,42562682.42455908,133.12351176349432,235.5515500266301,Office,5.449059999999999,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
9,3403.544303781714,584.7799624487919,114.83039186340727,2843.441454307723,2958.271846171131,-1014.6701228038704,4150.736904506679,4576.788567191571,Steel Frame with CLT Slabs,18423032.0221,20196.0,37800791.841596216,128.96122415444603,211.9082060141179,Office,5.554,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
10,2807.5186178321037,562.1305837824416,114.26548497592829,4060.8111084209454,4175.076593396875,-1042.0712182008233,3536.959284618154,3967.6570860150296,"CLT, Glulam and Steel Column Hybrid",20660337.9273,20196.0,37690974.38820271,144.6223654913912,182.2926148796566,Office,5.92,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,725760.0,0.0,0.0,,Office,0.0,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,725760.0,0.0,0.0,,Office,0.0,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,725760.0,0.0,0.0,,Office,0.0,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,725760.0,0.0,0.0,,Office,0.0,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,725760.0,0.0,0.0,,Office,0.0,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,725760.0,0.0,0.0,,Office,0.0,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,725760.0,,,,Office,,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
7,156355.73963201392,13735.52115517891,2663.570781766993,6885.116842441513,9548.687624208505,-32469.402452483526,174884.29796598805,184432.98559019645,Composite Rolled Steel with Metal Decking,521731158.3218,725760.0,566150739.4679779,3652.1181082526523,245.99925054321082,Office,131.4696,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
8,160036.07272707496,14104.922668842073,2700.4540903080456,6980.488651571599,9680.942741879644,-32789.17836108984,179050.1186184128,188731.0613602924,Composite Cell Beams with Metal Decking,557442289.7836,725760.0,573603925.1385349,3902.096028485219,252.08362908798776,Office,133.73368170922316,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
9,134336.5252917091,20440.866695410772,1833.1464262771678,80736.82024657715,82569.96667285432,-50642.47447594929,158849.5857929651,165841.13044747082,Steel Frame with CLT Slabs,548685841.0341,725760.0,398164568.2970488,3840.8008872390064,224.16554602100436,Office,138.2424,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
10,103400.98671595582,19739.428076019893,2035.2023343153917,160661.28268789736,162696.48502221267,-53177.67923811538,127955.47531135903,136105.7272135718,"CLT, Glulam and Steel Column Hybrid",465610526.1678,725760.0,439485863.0577352,3259.2736831743614,180.7963362468769,Office,153.12,24,C32/40 - 25% GGBS,No,Yes,PC Cladding,7,7
0,990.0174584479001,75.98013390331015,57.69819314372366,149.0896324070723,206.78782555079593,186.62272140128408,1133.038907848985,1339.8267333997803,RC Flat Slab,3690434.047,6720.0,12943538.766669635,25.83303832917497,172.4511824669881,Office,20.48,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
1,924.3816888329087,73.58889487017704,58.04473673450973,149.98482697840237,208.02956371291214,152.12944718866686,1061.4736011441612,1269.5031648570732,PT RC Flat Slab,4403760.2522,6720.0,13007718.23616504,30.82632176546874,162.5446313853616,Office,20.520000000000003,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,6720.0,0.0,0.0,,Office,0.0,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
3,1151.5326333290104,77.65068525917461,48.86906677857848,126.28215247723868,175.15121925581715,314.18354976265175,1303.20180532355,1478.3530245793672,Two-way RC Slab,3775794.1052,6720.0,11171160.35287157,26.43055873652814,197.86195893751162,Office,23.1,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,6720.0,0.0,0.0,,Office,0.0,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
5,971.8059339710892,59.94807859373444,46.19846896636103,119.38343979788905,165.5819087642501,122.07447094042374,1076.2439041780449,1241.8258129422943,Precast Hollowcore with In-situ RC Beams,3366636.1402,6720.0,10590550.697226468,23.566452981366435,163.6622555296743,Office,21.700000000000003,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
6,1163.598078184529,93.5899865378661,39.36413170174109,101.7432513269384,141.10738302867944,-59.12378086364466,1290.402088053352,1431.5094710820313,Non-Composite Rolled Steel with PCC Planks,4476918.2016,6720.0,9212343.397767315,31.33842741095708,196.6875767059984,Office,23.7036,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
7,1027.9662016413236,102.05963282139112,26.881876334471514,69.5090285665401,96.39090490101161,-209.90436503411073,1162.6181245625642,1259.0090294635754,Composite Rolled Steel with Metal Decking,4695514.1211,6720.0,6682503.397143875,32.86859884736962,177.89981003124015,Office,22.279200000000003,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
8,,,,,,,,,Composite Cell Beams with Metal Decking,,6720.0,,,,Office,23.0568,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
9,1027.6267982527866,180.3680437837144,19.74357614892044,785.3424946212681,805.0860707701886,-416.2496503591761,1241.3096883075268,1316.1694593835261,Steel Frame with CLT Slabs,5316645.9306,6720.0,5280745.834193087,37.21652151402424,190.25687646154034,Office,22.732,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
10,722.9406617130985,173.98286707612064,21.144563307915664,1518.19752844413,1539.3420917520457,-440.585369289861,935.4711745455068,1019.3434422975528,"CLT, Glulam and Steel Column Hybrid",4791058.5606,6720.0,5571983.01680327,33.537409924086425,144.1977060222609,Office,25.92,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10,10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,206910.0,0.0,0.0,,Residential,0.0,10,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,11,11
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,206910.0,0.0,0.0,,Residential,0.0,10,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,11,11
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,206910.0,0.0,0.0,,Residential,0.0,10,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,11,11
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,206910.0,0.0,0.0,,Residential,0.0,10,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,11,11
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,206910.0,0.0,0.0,,Residential,0.0,10,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,11,11
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,206910.0,0.0,0.0,,Residential,0.0,10,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,11,11
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,206910.0,,,,Residential,57.32,10,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,11,11
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,206910.0,,,,Residential,53.259,10,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,11,11
8,,,,,,,,,Composite Cell Beams with Metal Decking,,206910.0,,,,Residential,55.141999999999996,10,C32/40 - CEM I (OPC),Yes,Yes,Cavity Wall,11,11
