Project Ref,"Calculation Design
Stage",UK District,GIFA (m2),Project Value (£m),Value Type,Project Sector,Construction Type,Storeys (#),Passivhaus?,Basement Type,Foundation Type,Ground Floor Type,Superstructure Type,Cladding Type,"Carbon A1-A3
(kgCO2e)","Carbon A1-A5
(kgCO2e)","Carbon A1-C4
(kgCO2e)","Carbon A1-D
(kgCO2e)","A1-A3 Rate
(kgCO2e/m2)","A1-A5 Rate
(kgCO2e/m2)","A1-C4 Rate
(kgCO2e/m2)","A1-D Rate
(kgCO2e/m2)","Construction Carbon
(A1-A5) (kgCO2e)","Construction %
Carbon (A1-A5)","Concrete Total Mass
(kg)","Concrete Total
Carbon (A1-A5)
(kgCO2e)","Concrete % Carbon
(A1-A5)","Masonry & Blockwork
Total Area (m2)","Masonry & Blockwork
Total Carbon (A1-A5)
(kgCO2e)","Masonry % Blockwork
% Carbon (A1-A5)","Reinforcement Total
Mass (kg)","Reinforcement Total
Carbon (A1-A5)
(kgCO2e)","Reinforcement %
Carbon (A1-A5)","Steel (Other) Total
Mass (kg)","Steel (Other) Total
Carbon (A1-A5)
(kgCO2e)","Steel (Other) %
Carbon (A1-A5)","Steel (Sections) Total
Mass (kg)","Steel (Sections) Total
Carbon (A1-A5)
(kgCO2e)","Steel (Sections) %
Carbon (A1-A5)","Timber (Plain) Total
Mass (kg)","Timber (Plain) Total
Carbon (A1-A5)
(kgCO2e)","Timber (Plain) %
Carbon (A1-A5)","Timber (Products)
Total Mass (kg)","Timber (Products)
Total Carbon (A1-A5)
(kgCO2e)","Timber (Products) %
Carbon (A1-A5)",Project Sector_Commercial,Project Sector_Cultural/Public,Project Sector_Educational,Project Sector_Healthcare,Project Sector_Industrial,Project Sector_Mixed Use,Project Sector_Other,Project Sector_Residential (Multi),Project Sector_Residential (Single),Project Sector_Science/Lab
151,As-Built,IG11,3023,7.0,Whole Building,Residential (Multi),New Build (Brownfield),3,No,None,Mass Pads/Strips,Suspended RC,Concrete (In-Situ),Masonry Only,667701,783432,854426,751709,220.9,259.2,282.6,248.7,49000,0.063,4294296,456563,0.583,0,0,0.0,129384,275501,0.352,0,0,0.0,1482,2368,0.003,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
153,As-Built,CR8,3268,8.0,Whole Building,Residential (Multi),New Build (Brownfield),3,No,Partial Footprint,Raft,Raft,Timber Frame (Glulam/CLT),Masonry Only,353884,501809,537429,-194835,108.3,153.6,164.5,-59.6,56000,0.112,1582208,192962,0.385,0,0,0.0,52300,111364,0.222,0,0,0.0,19419,31034,0.062,0,0,0.0,395118,110450,0.22,0,0,0,0,0,0,0,1,0,0
155,Stage 4,OX11,1760,5.1,Whole Building,Science/Lab,New Build (Brownfield),2,No,None,Mass Pads/Strips,Suspended RC,Steel Frame/Composite,Other,371880,439257,467118,405159,211.3,249.6,265.4,230.2,35700,0.081,1806651,197122,0.449,0,0,0.0,39468,84039,0.191,7187,22309,0.051,62628,100086,0.228,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
157,Stage 2,OX11,8500,80.0,Whole Building,Science/Lab,New Build (Brownfield),3,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Lightweight/SFS,2416435,3188096,3330605,2920111,284.3,375.1,391.8,343.5,560000,0.176,10803300,1449831,0.455,0,0,0.0,471000,1002916,0.315,0,0,0.0,102140,163231,0.051,9600,4772,0.001,7500,7346,0.002,0,0,0,0,0,0,0,0,0,1
159,As-Built,SO24,312,2.0,Whole Building,Residential (Single),New Build (Brownfield),1,No,None,Mass Pads/Strips,Suspended RC,Steel Frame/Timber,Timber Only,75364,100434,112170,98186,241.6,321.9,359.5,314.7,14000,0.139,419290,39832,0.397,0,0,0.0,6156,13108,0.131,0,0,0.0,13698,21891,0.218,18107,9001,0.09,2656,2602,0.026,0,0,0,0,0,0,0,0,1,0
160,As-Built,SO24,109,0.7,Whole Building,Residential (Single),Full Refurb,1,No,None,Mass Pads/Strips,Suspended RC,Timber Frame (Softwood),Timber Only,22380,30277,33695,29706,205.3,277.8,309.1,272.5,4900,0.162,158969,14772,0.488,0,0,0.0,3801,8094,0.267,0,0,0.0,467,746,0.025,3849,1765,0.058,0,0,0.0,0,0,0,0,0,0,0,0,1,0
161,As-Built,CB6,3657,6.5,Whole Building,Science/Lab,New Build (Greenfield),2,No,None,Reinforced Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Lightweight/SFS,635848,738894,799584,706009,173.9,202.0,218.6,193.1,45500,0.062,3746400,357089,0.483,0,0,0.0,26423,56263,0.076,19894,61755,0.084,136590,218286,0.295,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
162,Stage 5,GU8,1830,45.0,Whole Building,Residential (Single),Mixed New Build/Refurb,3,No,Full Footprint,Piled Ground Beams,Suspended RC,Concrete (In-Situ),Masonry/Stone,1414706,1857174,1952620,1612875,773.1,1014.8,1067.0,881.4,315000,0.17,5847540,619757,0.334,0,0,0.0,423286,901317,0.485,0,0,0.0,10755,17188,0.009,7871,3913,0.002,0,0,0.0,0,0,0,0,0,0,0,0,1,0
163,Stage 4,SE6,6941,3.4,Whole Building,Educational,New Build (Greenfield),3,No,None,Piles (Pile Caps),Ground Bearing RC,Concrete (In-Situ),Masonry Only,2352532,2574462,2693068,2213874,338.9,370.9,388.0,319.0,23800,0.009,9041813,1214219,0.472,0,0,0.0,578262,1231312,0.478,0,0,0.0,65784,105130,0.041,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
164,As-Built,OX2,2404,6.2,Whole Building,Educational,New Build (Greenfield),3,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/Stone,761128,870713,921799,725525,316.6,362.2,383.4,301.8,43400,0.05,2472450,264329,0.304,0,0,0.0,220202,468883,0.539,0,0,0.0,52350,83661,0.096,21000,10439,0.012,0,0,0.0,0,0,1,0,0,0,0,0,0,0
165,As-Built,GU7,1930,12.0,Whole Building,Educational,New Build (Greenfield),3,No,None,Mass Pads/Strips,Ground Bearing RC,Concrete (In-Situ),Masonry Only,477643,603575,641244,531994,247.5,312.7,332.3,275.6,84000,0.139,2019396,202720,0.336,0,0,0.0,122902,261699,0.434,0,0,0.0,33306,53227,0.088,3879,1928,0.003,0,0,0.0,0,0,1,0,0,0,0,0,0,0
166,As-Built,WV10,2575,6.5,Whole Building,Healthcare,New Build (Brownfield),4,No,Full Footprint,Mass Pads/Strips,Suspended RC,Steel Frame/Precast,Lightweight/SFS,446616,528973,571580,517274,173.4,205.4,222.0,200.9,45500,0.086,2639755,255717,0.483,0,0,0.0,17363,36972,0.07,0,0,0.0,119380,190783,0.361,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
167,As-Built,NW6,4787,12.0,Whole Building,Residential (Multi),New Build (Brownfield),6,No,None,Piled Ground Beams,Suspended RC,Concrete (In-Situ),Masonry/SFS,1174584,1364531,1438052,1247292,245.4,285.0,300.4,260.6,84000,0.062,5723082,766363,0.562,0,0,0.0,241469,514168,0.377,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
168,Stage 3,NW6,8897,17.0,Whole Building,Mixed Use,New Build (Brownfield),8,No,None,Piles (Pile Caps),Suspended RC,Masonry/Concrete,Masonry Only,1900958,2182924,2285428,1932175,213.7,245.4,256.9,217.2,119000,0.055,7631705,1111313,0.509,0,0,0.0,446861,951516,0.436,0,0,0.0,685,1095,0.001,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0
169,As-Built,SP4,3851,8.0,Whole Building,Industrial,New Build (Greenfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Lightweight/SFS,724739,840227,904390,784279,188.2,218.2,234.8,203.7,56000,0.067,3447160,343301,0.409,0,0,0.0,32456,69110,0.082,23297,72319,0.086,187407,299498,0.356,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0
170,As-Built,YO26,307,1.5,Whole Building,Commercial,New Build (Greenfield),2,No,None,Mass Pads/Strips,Ground Bearing RC,Timber Frame (Softwood),Timber Only,42748,64923,77834,67780,139.2,211.5,253.5,220.8,10500,0.162,321708,29730,0.458,0,0,0.0,3540,7538,0.116,0,0,0.0,462,738,0.011,33026,16417,0.253,0,0,0.0,1,0,0,0,0,0,0,0,0,0
171,As-Built,CB5,1137,11.0,Whole Building,Educational,Mixed New Build/Refurb,4,No,Partial Footprint,Piles (Pile Caps),Ground Bearing RC,Steel Frame/Other,Masonry/Stone,721895,866222,914460,814055,634.9,761.8,804.3,716.0,77000,0.089,4122950,501935,0.579,0,0,0.0,112985,240583,0.278,1691,5249,0.006,25788,41212,0.048,686,243,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
172,Stage 3,OX2,446,2.0,Whole Building,Educational,New Build (Greenfield),3,No,None,Mass Pads/Strips,Timber,Timber Frame (Glulam/CLT),Masonry Only,57553,86789,93982,77677,129.0,194.6,210.7,174.2,14000,0.161,326619,26435,0.305,0,0,0.0,972,2070,0.024,0,0,0.0,1087,1737,0.02,273,97,0.001,70274,42451,0.489,0,0,1,0,0,0,0,0,0,0
173,As-Built,TN30,587,3.0,Whole Building,Residential (Single),New Build (Greenfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Concrete (In-Situ),Other,223697,265287,279759,245091,381.1,451.9,476.6,417.5,21000,0.079,1196719,151167,0.57,0,0,0.0,41899,89217,0.336,825,3903,0.015,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
174,As-Built,SW19,6975,22.4,Whole Building,Residential (Multi),New Build (Brownfield),9,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,2007013,2351985,2523708,2111398,287.7,337.2,361.8,302.7,156800,0.067,10194475,1083860,0.461,0,0,0.0,521912,1111324,0.473,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
175,As-Built,SW19,2475,8.2,Whole Building,Residential (Multi),New Build (Brownfield),7,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,746772,872386,930977,763036,301.7,352.5,376.2,308.3,57400,0.066,3407914,362324,0.415,0,0,0.0,212584,452662,0.519,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
176,As-Built,E3,4950,12.0,Whole Building,Residential (Multi),New Build (Brownfield),4,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1261930,1458824,1535318,1319747,254.9,294.7,310.2,266.6,84000,0.058,5925327,793784,0.544,0,0,0.0,272874,581040,0.398,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
177,Stage 5,SW7,23,0.2,Whole Building,Cultural/Public,New Build (Greenfield),1,No,None,Other,Other,Steel Frame/Other,Glazed/Curtain Wall,4867,6418,6554,5486,211.6,279.0,284.9,238.5,1400,0.218,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3140,5018,0.782,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
178,Stage 2,OX4,5850,27.4,Whole Building,Residential (Multi),New Build (Brownfield),15,No,None,Piles (Pile Caps),Ground Bearing RC,Concrete (In-Situ),Other,1977547,2333626,2425316,1954199,338.0,398.9,414.6,334.1,191800,0.082,6487200,857762,0.368,0,0,0.0,587362,1250689,0.536,0,0,0.0,20884,33375,0.014,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
179,Stage 2,OX4,7120,33.3,Whole Building,Residential (Multi),New Build (Brownfield),8,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,1436501,1793633,1877005,1579334,201.8,251.9,263.6,221.8,233100,0.13,5662160,758205,0.423,0,0,0.0,376798,802328,0.447,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
180,Stage 2,OX4,2755,12.9,Whole Building,Residential (Multi),New Build (Brownfield),4,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,998812,1172652,1218099,976452,362.5,425.6,442.1,354.4,90300,0.077,3259641,431028,0.368,0,0,0.0,305882,651324,0.555,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
181,Stage 2,OX4,5676,26.5,Whole Building,Residential (Multi),New Build (Brownfield),10,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1665070,1992422,2081330,1647095,293.4,351.0,366.7,290.2,185500,0.093,5586866,636503,0.319,0,0,0.0,549665,1170420,0.587,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
184,Stage 3,OX11,1005,2.5,Whole Building,Science/Lab,New Build (Greenfield),2,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Timber,Lightweight/SFS,252633,301443,318183,263050,251.4,299.9,316.6,261.7,17500,0.058,863800,90780,0.301,0,0,0.0,16475,35081,0.116,0,0,0.0,62000,99083,0.329,1150,407,0.001,96700,58592,0.194,0,0,0,0,0,0,0,0,0,1
185,Stage 4,B29,10779,26.1,Whole Building,Residential (Multi),New Build (Brownfield),9,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,3431795,3916689,4105831,3468143,318.4,363.4,380.9,321.7,182700,0.047,14985600,2015192,0.515,0,0,0.0,807200,1718798,0.439,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
186,Stage 4,B29,9083,22.0,Whole Building,Residential (Multi),New Build (Brownfield),9,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,3213792,3651531,3826649,3238415,353.8,402.0,421.3,356.5,154000,0.042,14215200,1912030,0.524,0,0,0.0,744600,1585501,0.434,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
187,Stage 4,B29,8137,19.7,Whole Building,Residential (Multi),New Build (Brownfield),9,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,2206934,2539044,2664516,2253119,271.2,312.0,327.5,276.9,137900,0.054,9607680,1292281,0.509,0,0,0.0,520756,1108863,0.437,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
188,Stage 4,B29,7130,17.3,Whole Building,Residential (Multi),New Build (Brownfield),12,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,1848024,2132278,2239429,1901447,259.2,299.1,314.1,266.7,121100,0.057,8175600,1100196,0.516,0,0,0.0,427825,910982,0.427,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
189,As-Built,TA13,83,0.224,Whole Building,Residential (Single),New Build (Greenfield),2,No,None,Mass Pads/Strips,Timber,Timber Frame (Softwood),Timber Only,4611,7980,10435,8643,55.6,96.1,125.7,104.1,1568,0.196,16080,829,0.104,0,0,0.0,0,0,0.0,0,0,0.0,1286,2055,0.258,6043,2958,0.371,258,253,0.032,0,0,0,0,0,0,0,0,1,0
190,As-Built,SL7,707,3.8,Whole Building,Residential (Single),New Build (Brownfield),2,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),SFS/Stone,258876,310327,332940,282224,366.2,438.9,470.9,399.2,26600,0.086,1422271,147029,0.474,0,0,0.0,64198,136699,0.44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
191,As-Built,SL7,707,3.8,Whole Building,Residential (Single),New Build (Brownfield),2,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),SFS/Stone,258876,310327,332940,282224,366.2,438.9,470.9,399.2,26600,0.086,1422271,147029,0.474,0,0,0.0,64198,136699,0.44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
192,As-Built,NW3,684,2.4,Whole Building,Residential (Single),Mixed New Build/Refurb,5,No,Partial Footprint,Piled Ground Beams,Ground Bearing RC,Steel Frame/Timber,Masonry Only,134514,162207,171112,148743,196.7,237.1,250.2,217.5,16800,0.104,539729,69276,0.427,0,0,0.0,16896,35977,0.222,286,888,0.005,23743,37944,0.234,2660,1322,0.008,0,0,0.0,0,0,0,0,0,0,0,0,1,0
193,As-Built,W7,3734,10.0,Whole Building,Residential (Multi),New Build (Brownfield),6,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,661194,790995,846520,690585,177.1,211.8,226.7,184.9,70000,0.088,2871334,300695,0.38,0,0,0.0,197386,420301,0.531,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
194,As-Built,W7,4200,10.0,Whole Building,Residential (Multi),New Build (Brownfield),7,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,872443,1021551,1092870,890479,207.7,243.2,260.2,212.0,70000,0.069,3844809,406035,0.397,0,0,0.0,256191,545516,0.534,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
195,As-Built,W7,5600,9.0,Whole Building,Residential (Multi),New Build (Brownfield),8,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1180262,1349874,1426774,1236355,210.8,241.0,254.8,220.8,63000,0.047,5783760,773628,0.573,0,0,0.0,241036,513246,0.38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
196,Stage 2,NW3,614,7.0,Whole Building,Residential (Single),New Build (Brownfield),3,No,Full Footprint,Raft,Suspended RC,Timber Frame (Glulam/CLT),Masonry Only,121821,190709,199278,168357,198.4,310.6,324.6,274.2,49000,0.257,473981,56715,0.297,0,0,0.0,20623,43914,0.23,0,0,0.0,0,0,0.0,0,0,0.0,68039,41080,0.215,0,0,0,0,0,0,0,0,1,0
197,As-Built,IP7,33,0.2,Whole Building,Commercial,New Build (Brownfield),1,No,None,Mass Pads/Strips,Suspended RC,Steel Frame/Timber,Glazed/Curtain Wall,9438,11774,12550,11127,286.0,356.8,380.3,337.2,1400,0.119,48960,4645,0.395,0,0,0.0,907,1931,0.164,0,0,0.0,2078,3321,0.282,0,0,0.0,1105,477,0.041,1,0,0,0,0,0,0,0,0,0
198,Stage 4,OX1,560,5.7,Whole Building,Educational,New Build (Brownfield),2,Yes,None,Piles (Pile Caps),Suspended RC,Steel Frame/Timber,Glazed/Curtain Wall,126660,183134,190202,163977,226.2,327.0,339.6,292.8,39900,0.218,226800,27550,0.15,0,0,0.0,12120,25808,0.141,0,0,0.0,23360,37332,0.204,1600,795,0.004,38900,24436,0.133,0,0,1,0,0,0,0,0,0,0
199,As-Built,PE21,821,1.6,Whole Building,Educational,New Build (Brownfield),2,No,None,Piles (Pile Caps),Suspended RC,Steel Frame/Other,Masonry/SFS,182862,209873,219355,193992,222.7,255.6,267.2,236.3,11200,0.053,532053,108957,0.519,0,0,0.0,14244,30330,0.145,0,0,0.0,37160,59386,0.283,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
200,Stage 5,LN6,753,2.5,Whole Building,Educational,New Build (Brownfield),3,No,None,Mass Pads/Strips,Suspended RC,Steel Frame/Composite,Lightweight/SFS,130534,165070,181764,163159,173.4,219.2,241.4,216.7,17500,0.106,356860,59314,0.359,0,0,0.0,5199,11070,0.067,8250,25610,0.155,6540,10452,0.063,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
201,Stage 4,OX33,365,1.0,Whole Building,Educational,New Build (Brownfield),2,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Timber,Masonry Only,67439,81843,88535,75525,184.8,224.2,242.6,206.9,7000,0.086,252500,27736,0.339,0,0,0.0,6800,14479,0.177,0,0,0.0,15700,25090,0.307,6100,3032,0.037,4600,4506,0.055,0,0,1,0,0,0,0,0,0,0
202,Stage 3,W1,1900,3.0,Structure Only,Commercial,Mixed New Build/Refurb,6,No,Full Footprint,Piles (Pile Caps),Suspended RC,Steel Frame/Composite,Masonry Only,409999,479136,497645,402768,215.8,252.2,261.9,212.0,42000,0.088,859745,114750,0.239,0,0,0.0,76816,163568,0.341,0,0,0.0,98230,156984,0.328,3691,1835,0.004,0,0,0.0,1,0,0,0,0,0,0,0,0,0
203,Stage 5,W8,854,3.5,Whole Building,Commercial,New Build (Brownfield),6,No,Full Footprint,Raft,Suspended RC,Concrete (In-Situ),Masonry/SFS,228613,273639,291038,236555,267.7,320.4,340.8,277.0,24500,0.09,954819,100713,0.368,0,0,0.0,67691,144136,0.527,0,0,0.0,2414,3858,0.014,867,431,0.002,0,0,0.0,1,0,0,0,0,0,0,0,0,0
205,Stage 4,W3,631,1.2,Whole Building,Educational,New Build (Brownfield),1,No,None,Piles (Pile Caps),Suspended RC,Steel Frame/Composite,Masonry Only,181688,203413,213319,189465,287.9,322.4,338.1,300.3,8400,0.041,728600,97565,0.48,0,0,0.0,0,0,0.0,4733,14691,0.072,51785,82758,0.407,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
206,Stage 3,N15,3760,10.0,Whole Building,Residential (Multi),New Build (Greenfield),9,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1217469,1392962,1457609,1195774,323.8,370.5,387.7,318.0,70000,0.05,4782155,617222,0.443,0,0,0.0,331437,705740,0.507,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
207,Stage 4,WD19,313,0.8,Whole Building,Residential (Single),New Build (Brownfield),3,No,Partial Footprint,Raft,Other,Steel Frame/Other,Masonry/SFS,67272,77872,82269,68856,214.9,248.8,262.8,220.0,5600,0.072,177852,22759,0.292,0,0,0.0,5745,12233,0.157,666,2067,0.027,20273,32398,0.416,3533,1251,0.016,1596,1563,0.02,0,0,0,0,0,0,0,0,1,0
208,Stage 2,SN3,702,4.0,Whole Building,Industrial,New Build (Brownfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Other,Precast/GRC,154200,223070,262536,220784,219.7,317.8,374.0,314.5,28000,0.126,564000,75583,0.339,0,0,0.0,7856,16728,0.075,0,0,0.0,20275,32402,0.145,126611,62938,0.282,6653,6516,0.029,0,0,0,0,1,0,0,0,0,0
209,Stage 2,SN3,6725,21.0,Whole Building,Industrial,New Build (Brownfield),1,Yes,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Other,Precast/GRC,1891735,2329869,2580854,2208864,281.3,346.4,383.8,328.5,147000,0.063,7653600,1026049,0.44,0,0,0.0,66646,141912,0.061,58661,182096,0.078,311515,497837,0.214,612521,304484,0.131,20000,19590,0.008,0,0,0,0,1,0,0,0,0,0
210,Stage 3,UB3,1456,5.2,Whole Building,Cultural/Public,New Build (Brownfield),3,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Precast,Precast/GRC,360655,433668,453071,401690,247.7,297.8,311.2,275.9,36400,0.084,919740,206116,0.475,0,0,0.0,20529,43712,0.101,0,0,0.0,92259,147440,0.34,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
213,Stage 5,NW6,520,1.6,Whole Building,Residential (Single),Full Refurb,4,No,Full Footprint,Reinforced Pads/Strips,Ground Bearing RC,Concrete (Precast),Masonry Only,155184,179077,186410,151549,298.4,344.4,358.5,291.4,11200,0.063,441899,62083,0.347,0,0,0.0,31400,66861,0.373,2341,7267,0.041,18280,29214,0.163,1990,989,0.006,1493,1462,0.008,0,0,0,0,0,0,0,0,1,0
215,Stage 3,TW3,3920,10.0,Whole Building,Mixed Use,New Build (Brownfield),9,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1065336,1228750,1289985,1095675,271.8,313.5,329.1,279.5,70000,0.057,4690950,628153,0.511,0,0,0.0,241629,514509,0.419,0,0,0.0,10067,16088,0.013,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0
216,Stage 5,OX11,2850,6.7,Whole Building,Science/Lab,Full Refurb,4,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Masonry/SFS,446844,521519,542979,438866,156.8,183.0,190.5,154.0,46900,0.09,743025,87981,0.169,0,0,0.0,21560,45908,0.088,22000,68292,0.131,170250,272079,0.522,720,358,0.001,0,0,0.0,0,0,0,0,0,0,0,0,0,1
217,Stage 3,LS23,394,1.5,Whole Building,Other,Mixed New Build/Refurb,8,No,None,Reinforced Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Glazed/Curtain Wall,58843,76966,83966,73174,149.3,195.3,213.1,185.7,10500,0.136,236330,30920,0.402,0,0,0.0,5062,10779,0.14,0,0,0.0,6249,9987,0.13,0,0,0.0,21709,14781,0.192,0,0,0,0,0,0,1,0,0,0
218,Stage 3,LS23,3710,13.0,Whole Building,Industrial,New Build (Brownfield),1,Yes,None,Reinforced Pads/Strips,Ground Bearing RC,Steel Frame/Other,Lightweight Only,1825845,2016460,2073196,1663081,492.1,543.5,558.8,448.3,91000,0.045,2854560,364276,0.181,0,0,0.0,231384,492693,0.244,0,0,0.0,668595,1068492,0.53,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0
219,Stage 3,LS23,1501,4.0,Whole Building,Industrial,New Build (Brownfield),1,Yes,None,Mass Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Lightweight Only,409327,535383,574913,448798,272.7,356.7,383.0,299.0,28000,0.052,1435200,150830,0.282,0,0,0.0,33963,72319,0.135,0,0,0.0,0,0,0.0,0,0,0.0,461783,284234,0.531,0,0,0,0,1,0,0,0,0,0
220,Stage 4,W1,6807,25.0,Whole Building,Commercial,Mixed New Build/Refurb,9,No,Full Footprint,Reinforced Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Glazed/Curtain Wall,869952,1102925,1149232,952978,127.8,162.0,168.8,140.0,175000,0.159,1769016,236884,0.215,0,0,0.0,73709,156951,0.142,36988,114818,0.104,262354,419272,0.38,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
221,Stage 4,GU35,950,2.0,Whole Building,Residential (Single),New Build (Greenfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Timber Frame (Softwood),Stone,166857,213749,260229,216728,175.6,225.0,273.9,228.1,14000,0.065,791582,89524,0.419,0,0,0.0,8558,18223,0.085,0,0,0.0,9501,15184,0.071,117421,43173,0.202,38436,33644,0.157,0,0,0,0,0,0,0,0,1,0
222,Stage 5,CB1,420,3.4,Whole Building,Residential (Single),Full Refurb,3,No,None,Reinforced Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Masonry Only,98653,129382,134581,116655,234.9,308.1,320.4,277.7,23800,0.184,294723,37335,0.289,0,0,0.0,4787,10193,0.079,2635,8180,0.063,30770,49174,0.38,480,239,0.002,472,462,0.004,0,0,0,0,0,0,0,0,1,0
223,Stage 4,OX29,286,4.0,Whole Building,Cultural/Public,New Build (Greenfield),4,No,Full Footprint,Raft,Raft,Steel Frame/Timber,Timber/SFS,102863,141849,148403,123333,359.7,496.0,518.9,431.2,28000,0.197,354922,46341,0.327,0,0,0.0,20294,43213,0.305,4416,13708,0.097,2846,4548,0.032,4888,2430,0.017,5536,3609,0.025,0,1,0,0,0,0,0,0,0,0
