Project No,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Concrete Mix,Has Basement,Has Transfer Deck,Cladding Type,Grid_X
74,7369.705174277975,One-Way Spanning RC,15410092.4808,26620.0,73693423.71307333,107.8706473657786,246.51603960868985,Office,55.25,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
75,6549.572423216938,Precast Hollowcore with In-situ RC Beams,13469685.3619,26620.0,64938984.62871398,94.28779753323852,220.86761300088284,Office,52.0,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
76,7155.184645432971,Non-Composite Rolled Steel with PCC Planks,18366403.5934,26620.0,61900190.25245415,128.56482515361486,246.83783074798453,Office,59.354000000000006,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
77,6626.560216007394,Composite Rolled Steel with Metal Decking,18521700.9566,26620.0,54493311.58777799,129.65190669610743,232.01275458285969,Office,56.40700000000001,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
78,6931.594131774605,Composite Cell Beams with Metal Decking,20121226.4348,26620.0,54826470.68291244,140.84858504379724,243.6727437770197,Office,56.6886,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
79,6085.013326571933,Steel Frame with CLT Slabs,19210594.6867,26620.0,48047442.315600455,134.47416280683515,215.4601894707591,Office,56.149,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
80,5598.153108257642,"CLT, Glulam and Steel Column Hybrid",21350484.289,26620.0,49883051.881168336,149.45339002326398,196.15371620584088,Office,62.400000000000006,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
81,45455.448169463605,Non-Composite Rolled Steel with PCC Planks,107276534.4011,115101.0,243054012.0586147,750.93574080749,370.8853320708674,Healthcare,165.48839999999998,28,C32/40 - 25% GGBS,Yes,No,Lightweight Cladding,9
82,42101.37036577858,Composite Rolled Steel with Metal Decking,99404087.5967,115101.0,210303164.8202596,695.8286131771522,345.8121969467141,Healthcare,164.85,28,C32/40 - 25% GGBS,Yes,No,Lightweight Cladding,9
83,44467.55726820279,Composite Cell Beams with Metal Decking,109893998.4749,115101.0,213600190.6464364,769.2579893245645,366.4989166256584,Healthcare,166.6,28,C32/40 - 25% GGBS,Yes,No,Lightweight Cladding,9
84,38241.8018743832,Steel Frame with CLT Slabs,101504942.3751,115101.0,175381317.89455968,710.5345966253801,316.6800936148972,Healthcare,166.992,28,C32/40 - 25% GGBS,Yes,No,Lightweight Cladding,9
85,31937.41368624252,RC Flat Slab,59824398.7348,143616.0,292187334.55543035,418.77079114350965,203.1128360389636,Healthcare,53.4,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
86,27982.75136877732,PT RC Flat Slab,63647795.6746,143616.0,275018158.7359874,445.5345697219983,177.84553448521976,Healthcare,52.95,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
87,25914.27943135008,RC Rib Slab,60108414.61,143616.0,257523735.36724547,420.7589022701101,165.47258190949475,Healthcare,55.24999999999999,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
88,28235.086462395306,Two-way RC Slab,56038897.701,143616.0,258573128.2654489,392.2722839071319,181.3735368502811,Healthcare,55.5,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
89,27591.462391140307,One-Way Spanning RC,57834337.9917,143616.0,265351826.6472615,404.8403659419282,176.12609572748303,Healthcare,55.5,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
90,30955.388729452847,Precast Hollowcore with In-situ RC Beams,60497153.8792,143616.0,282142208.3823832,423.4800771544031,197.4966988760617,Healthcare,53.99999999999999,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
91,29130.722726709828,Non-Composite Rolled Steel with PCC Planks,77939593.3322,143616.0,247003406.5853552,545.5771533253366,190.04704033645595,Healthcare,57.62,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
92,29744.73214651121,Composite Rolled Steel with Metal Decking,77598026.3242,143616.0,229476707.3573417,543.1861842693341,196.5088594252019,Healthcare,56.63399999999999,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
93,31239.66269209942,Composite Cell Beams with Metal Decking,85074658.7768,143616.0,229809385.3905332,595.522611437823,207.23872711846812,Healthcare,55.2972,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
94,23872.78136212952,Steel Frame with CLT Slabs,79025568.7816,143616.0,189979699.7365248,553.1789814715061,160.01487756993168,Healthcare,56.891,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
95,22306.57575986677,"CLT, Glulam and Steel Column Hybrid",89485519.1236,143616.0,191970102.9914769,626.3986338654396,149.01577570038742,Healthcare,58.8,10,C32/40 - 25% GGBS,Yes,No,PC Cladding,6
96,3622.267352186647,RC Flat Slab,5140250.7493,8316.0,18777114.961976346,35.98175524497467,401.34820294921286,Office,70.77000000000001,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
97,3003.147944844705,PT RC Flat Slab,5322784.847,8316.0,15867807.732007168,37.25949392875745,333.1139056912712,Office,69.51,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
98,2684.1738162598085,RC Rib Slab,5088514.0312,8316.0,13984331.254174046,35.61959821837134,298.4221326312832,Office,75.25,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
99,2775.283647722278,One-Way Spanning RC,5074857.9887,8316.0,14388718.076115431,35.52400592066468,308.5091879522151,Office,77.70000000000002,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
100,2953.6502659948765,Precast Hollowcore with In-situ RC Beams,4829352.9774,8316.0,15380914.44588675,33.8054708416696,327.5360264444126,Office,71.05,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
101,3105.5236420499477,Non-Composite Rolled Steel with PCC Planks,6630608.1991,8316.0,14431460.0253018,46.41425739339072,349.4048621044767,Office,76.8712,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
102,2751.7891043911554,Composite Rolled Steel with Metal Decking,6004275.1995,8316.0,11571212.071075987,42.02992639616095,312.487881013765,Office,73.6876,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
103,2847.389114992918,Composite Cell Beams with Metal Decking,6588873.0886,8316.0,11389044.148632916,46.12211162017598,324.84633431573417,Office,71.95103253849872,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
104,2412.4293677084847,Steel Frame with CLT Slabs,6498933.8254,8316.0,9342334.533630555,45.49253677769605,276.10461158400136,Office,75.14359999999999,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
105,2405.360034557568,"CLT, Glulam and Steel Column Hybrid",7245908.6666,8316.0,10094681.38211804,50.72136066633389,273.88754831211736,Office,79.52000000000001,14,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,6
106,8483.454285273934,RC Flat Slab,16690377.6293,41472.0,57445645.36168996,116.8326434049314,186.06219954550232,Education,19.84,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
107,7016.935410825378,PT RC Flat Slab,18363511.7384,41472.0,51123861.38827037,128.54458216848738,153.74861502421368,Education,19.62,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
108,6766.957947617734,RC Rib Slab,17248100.0813,41472.0,46760883.93678428,120.7367005690139,149.24117382761366,Education,21.0,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
109,7139.870835781999,Two-way RC Slab,15025539.4653,41472.0,46821083.47775444,105.17877625733092,157.833031657009,Education,21.0,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
110,7618.795243753182,One-Way Spanning RC,16296589.9703,41472.0,52940313.43012046,114.0761297923234,167.124951142373,Education,21.0,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
111,7380.690496721928,Precast Hollowcore with In-situ RC Beams,16724992.1083,41472.0,50695673.42252867,117.07494475786412,162.43191822549372,Education,20.1,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
112,6942.0383308908,Non-Composite Rolled Steel with PCC Planks,19979014.8629,41472.0,42614579.07703865,139.85310404063384,155.7321424047602,Education,22.2296,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
113,7233.766811841833,Composite Rolled Steel with Metal Decking,20867786.4275,41472.0,35975501.22870753,146.0745049924273,165.75849122112282,Education,21.6304,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
114,5690.412308909164,Steel Frame with CLT Slabs,20544595.2591,41472.0,25606439.63888471,143.81216681389338,132.38817989421293,Education,21.5144,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
115,5307.421673453069,"CLT, Glulam and Steel Column Hybrid",26416333.5886,41472.0,26304852.720146067,184.91433512017048,123.47889080536302,Education,22.880000000000003,4,C32/40 - 25% GGBS,No,No,Cavity Wall,8
116,32131.45186987189,RC Flat Slab,44389120.6147,84672.0,283008505.94889385,310.7238443031357,349.9768355919435,Residential,23.875,5,C32/40 - CEM I (OPC),Yes,Yes,Timber Cladding,12
117,31633.59932771608,PT RC Flat Slab,50292937.0322,84672.0,286112806.4369931,352.05055922538065,343.97292126782,Residential,24.0,5,C32/40 - CEM I (OPC),Yes,Yes,Timber Cladding,12
118,31679.307193553257,Two-way RC Slab,43073137.1355,84672.0,273570884.11182046,301.5119599485944,346.5548065140673,Residential,27.0,5,C32/40 - CEM I (OPC),Yes,Yes,Timber Cladding,12
119,27700.30000362912,Precast Hollowcore with In-situ RC Beams,41604806.6537,84672.0,265918595.49324945,291.23364657613024,301.0674277643836,Residential,25.625,5,C32/40 - CEM I (OPC),Yes,Yes,Timber Cladding,12
120,27573.239026308765,Non-Composite Rolled Steel with PCC Planks,52311851.2206,84672.0,251371924.31898543,366.18295854417306,303.389558410283,Residential,28.505000000000003,5,C32/40 - CEM I (OPC),Yes,Yes,Timber Cladding,12
121,25405.35882288097,Composite Rolled Steel with Metal Decking,51654243.9458,84672.0,228360860.5528588,361.5797076205112,282.4923730107002,Residential,26.6295,5,C32/40 - CEM I (OPC),Yes,Yes,Timber Cladding,12
122,23188.780167267,Steel Frame with CLT Slabs,55890081.9857,84672.0,213094379.72375157,391.2305738998964,259.42329801427167,Residential,27.1265,5,C32/40 - CEM I (OPC),Yes,Yes,Timber Cladding,12
123,21146.817419419807,"CLT, Glulam and Steel Column Hybrid",49041293.1743,84672.0,214045834.7163552,343.2890522202667,234.21785367514897,Residential,30.975,5,C32/40 - CEM I (OPC),Yes,Yes,Timber Cladding,12
124,47805.33701576223,Steel Frame with CLT Slabs,147817794.8085,176400.0,141283807.77148095,1034.724563659846,262.9518781610694,Education,120.7563,21,C32/40 - 25% GGBS,No,Yes,Timber Cladding,10
125,44694.82206064351,"CLT, Glulam and Steel Column Hybrid",141463352.6864,176400.0,176763739.38889152,990.243468804578,240.87372542981825,Education,142.8,21,C32/40 - 25% GGBS,No,Yes,Timber Cladding,10
126,24467.317474284864,RC Flat Slab,31608219.8992,55680.0,123623348.21440372,221.25753929425116,405.1285153994178,Education,145.72500000000002,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
127,20458.70491004158,PT RC Flat Slab,32149893.6525,55680.0,105352885.06775688,225.04925556765,339.0194900159107,Education,143.115,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
128,18386.88474926519,RC Rib Slab,30405744.7272,55680.0,92846341.71326768,212.84021309056843,305.3256065538458,Education,152.97500000000002,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
129,19323.48870364092,One-Way Spanning RC,29929522.9309,55680.0,97186522.14069007,209.5066605164431,320.6958798347922,Education,158.05,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
130,20477.00508988324,Precast Hollowcore with In-situ RC Beams,29467795.1271,55680.0,104666434.60527804,206.27456588953245,339.26807913858806,Education,145.72500000000002,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
131,22652.6409622285,Non-Composite Rolled Steel with PCC Planks,47983657.2176,55680.0,95008342.3560133,335.8856005232601,383.4403444044757,Education,159.1636,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
132,19379.86327293431,Composite Rolled Steel with Metal Decking,42021664.3096,55680.0,72243617.83286244,294.1516501668976,331.0621803925635,Education,152.54000000000002,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
133,20075.620247522937,Composite Cell Beams with Metal Decking,46315851.5238,55680.0,70922325.5036531,324.2109606664876,344.4929178576414,Education,148.90222454403306,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
134,16418.12187678291,Steel Frame with CLT Slabs,42117290.2282,55680.0,56957226.2433304,294.8210315972402,282.0915464102834,Education,155.3994,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
135,17173.1098078668,"CLT, Glulam and Steel Column Hybrid",48381385.9919,55680.0,65295797.48279525,338.6697019434731,293.5897879570708,Education,161.24,29,C32/40 - CEM I (OPC),No,Yes,Cavity Wall,6
136,121750.61922789522,RC Flat Slab,261544023.626,411264.0,1084753502.3115034,1830.808165381829,255.70359788077351,Healthcare,134.88,24,C32/40 - 75% GGBS,No,Yes,Cavity Wall,6
137,85127.44809294902,PT RC Flat Slab,240575864.0433,411264.0,773500109.4355669,1684.0310483029834,179.15529293527223,Healthcare,130.2,24,C32/40 - 75% GGBS,No,Yes,Cavity Wall,6
138,70455.46871406336,RC Rib Slab,206130897.7693,411264.0,604279768.9822716,1442.9162843852696,149.90535516142077,Healthcare,142.2,24,C32/40 - 75% GGBS,No,Yes,Cavity Wall,6
139,106450.2422442368,Two-way RC Slab,255109144.7766,411264.0,651731865.7146285,1785.7640134362057,236.1656621431769,Healthcare,145.79999999999998,24,C32/40 - 75% GGBS,No,Yes,Cavity Wall,6
140,74675.70907681886,One-Way Spanning RC,202430735.2054,411264.0,630306432.8612988,1417.0151464381092,158.95574627574166,Healthcare,142.8,24,C32/40 - 75% GGBS,No,Yes,Cavity Wall,6
141,93784.28431617597,Precast Hollowcore with In-situ RC Beams,209931907.2406,411264.0,731778034.1427562,1469.523350684103,201.54454312535515,Healthcare,133.8,24,C32/40 - 75% GGBS,No,Yes,Cavity Wall,6
147,19597.005980072503,RC Flat Slab,42438485.3602,91520.0,158166007.1584402,297.06939752148963,189.94556181317392,Education,20.28,4,C32/40 - 50% GGBS,No,Yes,Cavity Wall,8
148,15357.223607310842,PT RC Flat Slab,42023825.9898,91520.0,136023872.56186822,294.1667819288804,147.8495815029011,Education,19.880000000000003,4,C32/40 - 50% GGBS,No,Yes,Cavity Wall,8
149,14235.186353286112,RC Rib Slab,39924874.2224,91520.0,122202981.57968795,279.4741195567356,138.11995144170052,Education,21.8,4,C32/40 - 50% GGBS,No,Yes,Cavity Wall,8
150,16815.758967944454,Two-way RC Slab,38005523.3568,91520.0,126975302.4952908,266.0386634974088,165.2292668652141,Education,21.5,4,C32/40 - 50% GGBS,No,Yes,Cavity Wall,8
151,15003.45085141335,One-Way Spanning RC,36765978.8057,91520.0,129139557.16113856,257.3618516400276,144.90453945005123,Education,21.9,4,C32/40 - 50% GGBS,No,Yes,Cavity Wall,8
